# T_C	weight_%
425.594	85.2957
426.564	85.1361
427.534	84.9846
428.504	84.7311
429.474	84.5007
430.444	84.0659
431.414	83.7745
432.384	83.535
433.354	83.0307
434.324	82.7182
435.294	82.4849
436.264	81.9989
437.234	81.9345
438.204	81.711
439.174	81.1245
440.144	80.9709
441.114	80.4834
442.084	80.0952
443.054	80.224
444.024	79.4314
444.994	79.0545
445.964	78.9418
446.934	78.6122
447.904	78.3334
448.874	78.1944
449.844	77.4382
450.814	77.1285
451.783	77.1174
452.753	76.6781
453.723	76.3192
454.693	75.7736
455.663	75.6952
456.633	75.3124
457.603	74.8876
458.573	74.4407
459.543	74.2159
460.513	74.121
461.483	73.386
462.453	73.1094
463.423	72.8175
464.393	72.5355
465.363	72.2837
466.333	72.1223
467.303	71.7439
468.273	71.3839
469.243	71.1205
470.213	70.8809
471.183	70.2477
472.153	70.3777
473.123	69.8146
474.093	69.5983
475.063	69.4468
476.033	69.1202
477.003	68.9451
477.972	68.6388
478.942	68.3246
479.912	68.3528
480.882	67.9902
481.852	67.6948
482.822	67.524
483.792	67.09
484.762	67.3028
485.732	66.5992
486.702	66.5702
487.672	66.3061
488.642	66.1012
489.612	65.8875
490.582	65.6506
491.552	65.7602
492.522	65.2216
493.492	65.3749
494.462	65.1545
495.432	64.8345
496.402	64.8106
497.372	64.5505
498.342	64.2569
499.312	64.1108
500.282	64.2292
501.252	64.0821
502.222	63.8927
503.191	63.6666
504.161	63.5695
505.131	63.4259
506.101	63.0932
507.071	63.2485
508.041	63.2055
509.011	63.0285
509.981	63.1784
510.951	62.6604
511.921	62.6132
512.891	62.6369
513.861	62.5611
514.831	62.1499
515.801	62.4391
516.771	62.3023
517.741	61.8663
518.711	62.0886
519.681	61.9093
520.651	61.8897
521.621	61.6865
522.591	61.8815
523.561	62.0176
524.531	61.7296
525.501	61.3046
526.471	61.6122
527.441	61.483
528.411	61.2919
529.38	61.4569
530.35	61.4844
531.32	61.2026
532.29	61.0085
533.26	60.9072
534.23	61.0647
535.2	61.0983
536.17	61.0028
537.14	60.9379
538.11	61.0871
539.08	61.0342
540.05	60.959
541.02	61.0171
541.99	60.763
542.96	60.6652
543.93	60.7202
544.9	60.6802
545.87	60.4325
546.84	60.6308
547.81	60.8518
548.78	60.7805
549.75	60.7145
550.72	60.6317
551.69	60.8064
552.66	60.408
553.63	60.4011
554.599	60.694
555.569	60.5098
556.539	60.386
557.509	60.5512
558.479	60.385
559.449	60.3082
560.419	60.2877
561.389	60.45
562.359	60.4176
563.329	60.5996
564.299	60.3146
565.269	60.2985
566.239	60.5476
567.209	60.467
568.179	60.3288
569.149	60.0613
570.119	60.1626
571.089	60.1155
572.059	60.2687
573.029	60.1771
573.999	60.4842
574.969	59.9988
575.939	60.0515
576.909	60.2538
577.879	60.2871
578.849	59.8129
579.819	59.9331
580.788	60.1465
581.758	60.3825
582.728	60.4554
583.698	60.1036
584.668	60.1339
585.638	60.0279
586.608	60.2426
587.578	60.3713
588.548	60.325
589.518	60.1271
590.488	60.0007
591.458	60.1229
592.428	60.3242
593.398	60.0525
594.368	59.836
595.338	60.0502
596.308	60.0584
597.278	59.8233
598.248	60.1276
599.218	60.1652
600.188	60.3649
601.158	59.8828
602.128	60.1891
603.098	60.2215
604.068	60.1515
605.038	59.9198
606.008	59.9084
606.977	60.0801
607.947	60.0765
608.917	59.9767
609.887	60.2521
610.857	59.996
611.827	59.7699
612.797	60.0183
613.767	60.122
614.737	60.0993
615.707	60.0964
616.677	60.2686
617.647	59.8756
618.617	59.9776
619.587	60.2713
620.557	59.743
621.527	60.0286
622.497	60.2196
623.467	60.216
624.437	60.1316
625.407	60.1342
626.377	59.874
627.347	60.235
628.317	59.8479
629.287	59.8558
630.257	60.084
631.227	59.9509
632.196	60.0549
633.166	60.0876
634.136	60.2888
635.106	60.0863
636.076	59.9277
637.046	60.1212
638.016	59.8942
638.986	60.1552
639.956	60.0272
640.926	60.077
641.896	59.7491
642.866	59.678
643.836	59.7898
644.806	60.2763
645.776	59.8417
646.746	60.1232
647.716	59.9166
648.686	59.9764
649.656	60.0052
650.626	60.258
651.596	60.0987
652.566	60.0683
653.536	60.2047
654.506	59.9148
655.476	60.1697
656.446	60.1443
657.416	60.1422
658.385	59.9851
659.355	59.9425
660.325	59.8773
661.295	59.8864
662.265	59.8696
663.235	60.0619
664.205	59.9724
665.175	60.0711
666.145	60.0793
667.115	59.847
668.085	59.8422
669.055	59.9712
670.025	59.889
670.995	59.873
671.965	60.2592
672.935	59.7747
673.905	60.308
674.875	60.0477
675.845	60.1521
676.815	60.1343
677.785	60.0964
678.755	60.253
679.725	59.8412
680.695	59.98
681.665	59.8754
682.635	59.7488
683.605	59.9039
684.574	60.2838
685.544	59.9768
686.514	60.3003
687.484	60.3155
688.454	60.4518
689.424	60.2882
690.394	60.3561
691.364	60.051
692.334	60.0364
693.304	60.0463
694.274	60.002
695.244	60.0244
696.214	60.1147
697.184	59.9319
698.154	59.7951
699.124	60.0562
700.094	59.8977
701.064	59.9131
702.034	59.9801
703.004	59.9456
703.974	60.1679
704.944	59.9763
705.914	60.1753
706.884	60.0321
707.854	59.9879
708.824	60.0248
709.793	59.8073
710.763	60.0517
711.733	60.1284
712.703	60.1496
713.673	59.7981
714.643	59.773
715.613	59.9203
716.583	60.2085
717.553	60.0339
718.523	59.8846
719.493	59.7828
720.463	59.8981
721.433	59.8879
722.403	60.141
723.373	60.1525
724.343	59.8431
725.313	60.1136
726.283	60.0982
727.253	59.8236
728.223	59.9879
729.193	60.0516
730.163	60.025
731.133	59.7439
732.103	60.0201
733.073	60.0959
734.043	60.2373
735.013	59.9001
735.982	59.9186
736.952	59.969
737.922	60.044
738.892	60.0149
739.862	60.091
740.832	59.8315
741.802	60.0598
742.772	59.889
743.742	59.9788
744.712	60.2565
745.682	59.7905
746.652	59.9583
747.622	59.809
748.592	60.0232
749.562	60.1575
750.532	60.0257
751.502	59.9827
752.472	60.1995
753.442	60.0498
754.412	60.1231
755.382	60.1075
756.352	59.5687
757.322	59.9887
758.292	59.8384
759.262	59.8758
760.232	60.2213
761.202	59.9439
762.171	60.284
763.141	59.789
764.111	59.8376
765.081	60.1145
766.051	59.9489
767.021	60.0462
767.991	59.9833
768.961	59.9787
769.931	59.9545
770.901	60.027
771.871	60.0963
772.841	60.2422
773.811	59.9697
774.781	59.941
775.751	59.9217
776.721	60.2205
777.691	60.1036
778.661	59.7152
779.631	59.7086
780.601	59.8756
781.571	60.0346
782.541	59.995
783.511	60.0773
784.481	59.9737
785.451	60.2097
786.421	60.1159
787.39	60.0117
788.36	60.1718
789.33	59.7527
790.3	59.9873
791.27	60.0207
792.24	60.0903
793.21	59.7428
794.18	59.961
795.15	60.0601
796.12	60.0716
797.09	60.178
798.06	60.1143
799.03	59.9909
800	60.1013
