# wavenumber_cm-1	transmittance_%
1498.55	99.4732
1500.35	99.1338
1502.15	98.7679
1503.95	98.3205
1505.75	98.6935
1507.55	98.8327
1509.35	98.4738
1511.16	97.187
1512.96	98.3236
1514.76	98.173
1516.56	97.6223
1518.36	97.816
1520.16	97.5019
1521.96	96.8885
1523.76	97.2424
1525.56	96.2333
1527.36	96.3342
1529.16	96.0268
1530.97	95.5332
1532.77	95.5629
1534.57	95.5395
1536.37	95.1787
1538.17	94.6626
1539.97	93.5607
1541.77	93.2754
1543.57	93.3154
1545.37	92.8274
1547.17	92.2429
1548.97	92.5015
1550.78	91.4821
1552.58	91.1168
1554.38	90.7378
1556.18	89.9293
1557.98	90.1461
1559.78	88.5278
1561.58	88.0552
1563.38	87.3679
1565.18	87.5208
1566.98	86.6826
1568.78	85.6582
1570.59	84.9327
1572.39	84.9698
1574.19	84.0188
1575.99	83.6842
1577.79	82.5902
1579.59	82.1068
1581.39	81.3882
1583.19	80.457
1584.99	79.9502
1586.79	78.9922
1588.59	78.8567
1590.4	78.3064
1592.2	77.7553
1594	77.0509
1595.8	76.2197
1597.6	76.1473
1599.4	75.3912
1601.2	75.0022
1603	74.505
1604.8	73.5399
1606.6	73.2274
1608.4	72.9041
1610.21	71.9165
1612.01	71.543
1613.81	71.143
1615.61	71.185
1617.41	70.8363
1619.21	70.2598
1621.01	70.5258
1622.81	70.2798
1624.61	70.5283
1626.41	70.681
1628.21	70.1561
1630.02	69.791
1631.82	70.2138
1633.62	70.0812
1635.42	70.1036
1637.22	70.0525
1639.02	70.3449
1640.82	70.641
1642.62	71.1819
1644.42	71.3757
1646.22	72.086
1648.02	72.0895
1649.82	72.3952
1651.63	72.587
1653.43	72.8073
1655.23	73.4146
1657.03	73.8681
1658.83	73.8261
1660.63	74.8301
1662.43	76.1718
1664.23	76.3785
1666.03	76.748
1667.83	77.588
1669.63	77.5024
1671.44	78.8037
1673.24	79.7415
1675.04	79.9679
1676.84	80.1235
1678.64	81.1848
1680.44	82.3481
1682.24	82.6967
1684.04	82.8464
1685.84	84.6313
1687.64	84.1889
1689.44	85.1296
1691.25	85.5207
1693.05	86.1414
1694.85	86.9265
1696.65	87.8514
1698.45	88.6338
1700.25	88.7035
1702.05	89.075
1703.85	90.0654
1705.65	90.6025
1707.45	91.0346
1709.25	91.5412
1711.06	91.9039
1712.86	92.4294
1714.66	92.7904
1716.46	93.5936
1718.26	94.3514
1720.06	94.1298
1721.86	94.4496
1723.66	94.887
1725.46	94.9546
1727.26	95.7066
1729.06	95.9182
1730.87	95.9525
1732.67	96.6265
1734.47	96.6235
1736.27	96.574
1738.07	97.2034
1739.87	97.3881
1741.67	97.8109
1743.47	97.9652
1745.27	97.8637
1747.07	97.9237
1748.87	98.2234
1750.68	98.4788
1752.48	98.6516
1754.28	98.7239
1756.08	98.7241
1757.88	99.1595
1759.68	98.7592
1761.48	99.7985
1763.28	99.3696
1765.08	98.8816
1766.88	99.3482
1768.68	99.5913
1770.49	99.3159
1772.29	99.0283
1774.09	99.2164
1775.89	99.7375
1777.69	99.0912
1779.49	99.2216
1781.29	99.8527
1783.09	99.6569
1784.89	99.544
1786.69	99.6305
1788.49	99.3614
1790.3	99.9694
1792.1	99.6014
1793.9	99.7
1795.7	99.9803
1797.5	99.8133
1799.3	99.6914
1801.1	99.3172
1802.9	100.034
1804.7	99.9567
1806.5	99.7857
1808.3	99.6368
1810.11	99.9582
1811.91	100.104
1813.71	99.9942
1815.51	100.461
1817.31	100.185
1819.11	99.9443
1820.91	100.201
1822.71	99.9968
1824.51	99.998
1826.31	100.375
1828.11	99.7189
1829.91	99.9969
1831.72	100.348
1833.52	100.085
1835.32	99.8827
1837.12	99.4825
1838.92	99.314
1840.72	100.619
1842.52	100.089
1844.32	99.8217
1846.12	100.102
1847.92	99.7134
1849.72	99.8987
1851.53	99.7161
1853.33	99.5746
1855.13	99.3673
1856.93	99.5197
1858.73	100.306
1860.53	99.7032
1862.33	100.16
1864.13	100.286
1865.93	100.005
1867.73	99.9101
1869.53	100.04
1871.34	99.8748
1873.14	100.361
1874.94	100.563
1876.74	100.435
1878.54	99.3544
1880.34	99.8688
1882.14	100.001
1883.94	100.139
1885.74	99.4817
1887.54	99.4769
1889.34	100.392
1891.15	99.8322
1892.95	99.5537
1894.75	99.6689
1896.55	100.117
1898.35	99.7532
1900.15	100.072
1901.95	99.7064
1903.75	99.4767
1905.55	100.427
1907.35	100.119
1909.15	99.8999
1910.96	99.8436
1912.76	100.439
1914.56	100.177
1916.36	100.344
1918.16	99.8249
1919.96	100.015
1921.76	100.121
1923.56	99.835
1925.36	99.9713
1927.16	99.8249
1928.96	100.12
1930.77	99.6036
1932.57	100.172
1934.37	100.093
1936.17	99.939
1937.97	100.135
1939.77	99.8905
1941.57	99.799
1943.37	100.163
1945.17	100.176
1946.97	99.8478
1948.77	99.8221
1950.58	99.9451
1952.38	99.8344
1954.18	100.458
1955.98	100.095
1957.78	100.004
1959.58	99.7202
1961.38	100.222
1963.18	99.8165
1964.98	99.8042
1966.78	100.232
1968.58	100.116
1970.39	99.249
1972.19	99.9527
1973.99	100.038
1975.79	99.8981
1977.59	100.048
1979.39	99.4571
1981.19	99.1507
1982.99	99.7074
1984.79	100.085
1986.59	99.0325
1988.39	99.7469
1990.2	99.4232
1992	99.9272
1993.8	100.587
1995.6	99.9348
1997.4	99.9677
1999.2	100.252
2001	100.006
2002.8	99.9355
2004.6	100.278
2006.4	100.142
2008.2	100.087
2010.01	99.9584
2011.81	99.8962
2013.61	100.275
2015.41	99.8991
2017.21	100.369
2019.01	99.6859
2020.81	100.43
2022.61	100.142
2024.41	99.7094
2026.21	100.153
2028.01	99.8049
2029.81	100.01
2031.62	99.854
2033.42	99.9601
2035.22	100.282
2037.02	100.156
2038.82	99.6624
2040.62	99.6796
2042.42	100.081
2044.22	100.103
2046.02	99.7977
2047.82	100.477
2049.62	100.244
2051.43	99.8123
2053.23	99.7833
2055.03	99.9317
2056.83	99.9004
2058.63	100.377
2060.43	100.295
2062.23	100.011
2064.03	100.203
2065.83	100.247
2067.63	100.017
2069.43	100.121
2071.24	100.178
2073.04	100.146
2074.84	99.7664
2076.64	99.7967
2078.44	99.9134
2080.24	99.788
2082.04	99.5581
2083.84	100.203
2085.64	100.104
2087.44	99.5982
2089.24	99.9277
2091.05	99.9447
2092.85	100.055
2094.65	99.6754
2096.45	99.5938
2098.25	100.156
2100.05	99.5398
2101.85	99.9302
2103.65	99.9022
2105.45	99.963
2107.25	100.076
2109.05	100.48
2110.86	99.5202
2112.66	100.263
2114.46	99.2464
2116.26	100.418
2118.06	99.3871
2119.86	100.731
2121.66	99.8831
2123.46	100.387
2125.26	100.325
2127.06	99.8691
2128.86	99.8921
2130.67	99.7489
2132.47	100.236
2134.27	99.873
2136.07	99.7543
2137.87	100.161
2139.67	99.7308
2141.47	99.9013
2143.27	100.032
2145.07	99.8073
2146.87	99.8525
2148.67	100.46
2150.48	99.9387
2152.28	99.8921
2154.08	99.9475
2155.88	100.136
2157.68	99.6898
2159.48	100.128
2161.28	100.077
2163.08	99.4634
2164.88	100.538
2166.68	100.438
2168.48	99.7598
2170.29	99.6633
2172.09	100.068
2173.89	99.5722
2175.69	100.409
2177.49	99.8595
2179.29	100.487
2181.09	99.7527
2182.89	99.9663
2184.69	100.38
2186.49	99.903
2188.29	100.082
2190.1	100.328
2191.9	99.8332
2193.7	99.6215
2195.5	99.5624
2197.3	100.175
2199.1	100.117
2200.9	100.318
2202.7	99.9178
2204.5	99.5708
2206.3	99.2942
2208.1	100.86
2209.9	100.158
2211.71	100.041
2213.51	100.084
2215.31	99.5706
2217.11	99.7615
2218.91	100.523
2220.71	100.198
2222.51	99.7709
2224.31	99.632
2226.11	99.8453
2227.91	99.9054
2229.71	100.615
2231.52	99.9435
2233.32	99.6431
2235.12	99.9824
2236.92	100.079
2238.72	99.6158
2240.52	100.121
2242.32	100.363
2244.12	100.042
2245.92	99.7609
2247.72	99.8413
2249.52	99.5023
2251.33	99.9598
2253.13	100.093
2254.93	99.731
2256.73	100.582
2258.53	100.238
2260.33	99.4622
2262.13	99.4683
2263.93	99.7048
2265.73	100.472
2267.53	100.267
2269.33	100.487
2271.14	100.003
2272.94	99.9372
2274.74	99.6257
2276.54	100.105
2278.34	99.9411
2280.14	99.9296
2281.94	100.485
2283.74	99.9621
2285.54	100.399
2287.34	99.5236
2289.14	100.806
2290.95	99.888
2292.75	100.212
2294.55	100.26
2296.35	99.8508
2298.15	100.246
2299.95	100.261
2301.75	99.7861
2303.55	99.7896
2305.35	100.014
2307.15	99.9654
2308.95	100.418
2310.76	100.211
2312.56	99.9789
2314.36	100.182
2316.16	99.386
2317.96	99.8154
2319.76	100.086
2321.56	100.335
2323.36	100.06
2325.16	100.437
2326.96	100.26
2328.76	99.8535
2330.57	99.958
2332.37	100.123
2334.17	99.8654
2335.97	100.459
2337.77	99.6674
2339.57	100.095
2341.37	100.221
2343.17	99.906
2344.97	99.8384
2346.77	99.9772
2348.57	100.244
2350.38	99.85
2352.18	99.6793
2353.98	100.345
2355.78	100.12
2357.58	100.302
2359.38	100.228
2361.18	100.654
2362.98	100.334
2364.78	99.7828
2366.58	100.141
2368.38	99.8328
2370.19	99.8638
2371.99	99.5762
2373.79	99.9142
2375.59	100.164
2377.39	99.9802
2379.19	99.6702
2380.99	99.5431
2382.79	100.634
2384.59	100.098
2386.39	99.7528
2388.19	100.139
2389.99	100.657
2391.8	100.186
2393.6	99.1639
2395.4	100.796
2397.2	99.4452
2399	99.9382
2400.8	99.66
2402.6	99.778
2404.4	100.085
2406.2	99.3787
2408	99.9729
2409.8	100.344
2411.61	99.747
2413.41	99.5829
2415.21	99.9582
2417.01	99.8985
2418.81	99.8214
2420.61	99.6435
2422.41	100.156
2424.21	100.179
2426.01	99.6803
2427.81	99.7218
2429.61	100.041
2431.42	99.7105
2433.22	100.054
2435.02	100.44
2436.82	99.9821
2438.62	99.6359
2440.42	100.118
2442.22	99.9467
2444.02	99.955
2445.82	100.143
2447.62	100.207
2449.42	100.011
2451.23	99.9818
2453.03	100.619
2454.83	100.36
2456.63	100.25
2458.43	100.039
2460.23	99.6983
2462.03	100.338
2463.83	100.043
2465.63	99.8268
2467.43	99.9271
2469.23	99.7101
2471.04	100.317
2472.84	100.205
2474.64	100.054
2476.44	99.9872
2478.24	99.7958
2480.04	99.361
2481.84	99.5761
2483.64	99.7772
2485.44	99.7321
2487.24	100.087
2489.04	100.243
2490.85	99.9615
2492.65	100.423
2494.45	99.7651
2496.25	99.9593
2498.05	99.9847
2499.85	100.328
2501.65	100.032
2503.45	100.04
2505.25	99.5035
2507.05	99.73
2508.85	100.329
2510.66	99.3774
2512.46	100.403
2514.26	100.15
2516.06	99.7757
2517.86	99.7504
2519.66	100.569
2521.46	100.423
2523.26	99.9642
2525.06	100.04
2526.86	99.8061
2528.66	100.04
2530.47	99.7978
2532.27	99.9764
2534.07	100.543
2535.87	99.9713
2537.67	99.6856
2539.47	99.5901
2541.27	100.038
2543.07	99.7717
2544.87	100.074
2546.67	99.5141
2548.47	100.207
2550.28	99.682
2552.08	100.014
2553.88	99.8985
2555.68	100.516
2557.48	100.051
2559.28	100.584
2561.08	100.168
2562.88	100.428
2564.68	99.9374
2566.48	100.104
2568.28	100.366
2570.09	100.271
2571.89	100.159
2573.69	99.9016
2575.49	99.9524
2577.29	100.341
2579.09	100.404
2580.89	99.8221
2582.69	99.7769
2584.49	99.7288
2586.29	100.249
2588.09	99.7212
2589.89	100.245
2591.7	100.164
2593.5	99.8365
2595.3	100.469
2597.1	99.5613
2598.9	100.498
2600.7	100.096
2602.5	99.378
2604.3	100.478
2606.1	100.292
2607.9	99.8715
2609.7	99.7106
2611.51	99.5293
2613.31	100.725
2615.11	99.723
2616.91	99.6209
2618.71	100.08
2620.51	99.5086
2622.31	99.7055
2624.11	100.298
2625.91	100.139
2627.71	99.8841
2629.51	100.005
2631.32	99.8673
2633.12	99.9814
2634.92	99.7715
2636.72	99.8259
2638.52	99.8168
2640.32	99.7822
2642.12	100.313
2643.92	100.231
2645.72	99.7203
2647.52	99.6417
2649.32	99.9528
2651.13	100.647
2652.93	99.6917
2654.73	99.9516
2656.53	100.027
2658.33	99.9674
2660.13	99.8625
2661.93	100.347
2663.73	100.136
2665.53	100.254
2667.33	100.177
2669.13	100.268
2670.94	100.475
2672.74	100.399
2674.54	100.697
2676.34	100.365
2678.14	99.7992
2679.94	100.254
2681.74	100.213
2683.54	100.576
2685.34	99.7099
2687.14	100.167
2688.94	99.7957
2690.75	100.154
2692.55	99.9356
2694.35	100.144
2696.15	99.5769
2697.95	100.238
2699.75	100.062
2701.55	100.046
2703.35	100.585
2705.15	99.8852
2706.95	100.103
2708.75	100.03
2710.56	100.059
2712.36	100.667
2714.16	100.019
2715.96	99.8298
2717.76	100.561
2719.56	99.9076
2721.36	99.5183
2723.16	99.7776
2724.96	99.6258
2726.76	99.4598
2728.56	99.8908
2730.37	99.9786
2732.17	100.354
2733.97	100.188
2735.77	100.175
2737.57	99.7313
2739.37	100.265
2741.17	100.416
2742.97	100.117
2744.77	100.125
2746.57	99.6185
2748.37	100.314
2750.18	100.531
2751.98	100.093
2753.78	99.8172
2755.58	99.946
2757.38	99.8674
2759.18	99.8841
2760.98	100.185
2762.78	100.073
2764.58	100.288
2766.38	100.096
2768.18	99.7221
2769.98	99.8277
2771.79	99.805
2773.59	99.9132
2775.39	100.502
2777.19	100.544
2778.99	100.201
2780.79	99.977
2782.59	99.523
2784.39	99.9861
2786.19	99.67
2787.99	100.381
2789.79	99.393
2791.6	99.9706
2793.4	99.5707
2795.2	99.8047
2797	99.9786
2798.8	100.053
2800.6	99.6912
2802.4	99.8963
2804.2	99.4226
2806	99.6427
2807.8	99.8112
2809.6	99.5449
2811.41	99.2137
2813.21	99.2079
2815.01	99.5067
2816.81	98.7752
2818.61	98.71
2820.41	99.0532
2822.21	98.6086
2824.01	98.1593
2825.81	98.8418
2827.61	97.9336
2829.41	98.0153
2831.22	97.6848
2833.02	97.56
2834.82	97.1448
2836.62	97.3668
2838.42	96.9087
2840.22	96.8736
2842.02	96.0781
2843.82	96.5619
2845.62	94.99
2847.42	94.7032
2849.22	95.2995
2851.03	94.4882
2852.83	93.9982
2854.63	93.5524
2856.43	93.0993
2858.23	92.501
2860.03	91.5832
2861.83	91.5597
2863.63	90.9341
2865.43	90.5676
2867.23	90.0543
2869.03	88.9945
2870.84	87.8833
2872.64	88.1274
2874.44	86.6242
2876.24	86.3572
2878.04	85.4994
2879.84	84.7649
2881.64	84.4408
2883.44	83.6049
2885.24	83.011
2887.04	81.9463
2888.84	81.4844
2890.65	80.666
2892.45	80.2153
2894.25	79.6385
2896.05	79.6506
2897.85	78.4698
2899.65	77.3904
2901.45	77.96
2903.25	77.2253
2905.05	76.6386
2906.85	76.1747
2908.65	75.6925
2910.46	76.2734
2912.26	75.4693
2914.06	74.7421
2915.86	75.2203
2917.66	75.3922
2919.46	75.036
2921.26	74.7279
2923.06	74.7609
2924.86	74.8931
2926.66	75.7842
2928.46	75.5142
2930.27	75.2874
2932.07	76.2072
2933.87	76.4792
2935.67	76.689
2937.47	76.944
2939.27	77.3946
2941.07	78.538
2942.87	78.8162
2944.67	79.4444
2946.47	79.9589
2948.27	80.5913
2950.08	80.9796
2951.88	81.702
2953.68	82.7702
2955.48	83.5124
2957.28	83.3958
2959.08	84.3786
2960.88	85.3728
2962.68	86.3641
2964.48	87.0084
2966.28	86.9028
2968.08	88.1829
2969.88	88.4657
2971.69	89.396
2973.49	89.9389
2975.29	89.9265
2977.09	91.056
2978.89	91.7588
2980.69	91.997
2982.49	92.4539
2984.29	92.5594
2986.09	93.7168
2987.89	94.0325
2989.69	94.1285
2991.5	94.7198
2993.3	95.2536
2995.1	95.4067
2996.9	95.9199
2998.7	95.7171
3000.5	96.9485
3002.3	96.8293
3004.1	96.7555
3005.9	96.5887
3007.7	97.8581
3009.5	97.9217
3011.31	98.0053
3013.11	98.3728
3014.91	98.5282
3016.71	98.47
3018.51	98.4634
3020.31	98.5296
3022.11	98.884
3023.91	99.2685
3025.71	98.8996
3027.51	99.4447
3029.31	99.1758
3031.12	99.2317
3032.92	99.8849
3034.72	99.6976
3036.52	99.7372
3038.32	99.0199
3040.12	99.9367
3041.92	99.269
3043.72	99.2351
3045.52	98.6608
3047.32	99.4076
3049.12	98.9819
3050.93	99.4231
3052.73	98.9425
3054.53	99.8176
3056.33	99.4282
3058.13	99.9284
3059.93	98.9167
3061.73	99.6652
3063.53	98.6342
3065.33	99.2098
3067.13	98.9281
