# energy_eV	COHP	ICOHP
-6.28571	4.61462e-07	5.62762e-08
-6.25564	6.0646e-07	7.45157e-08
-6.22556	7.95019e-07	9.8426e-08
-6.19549	1.03959e-06	1.29692e-07
-6.16541	1.35598e-06	1.70473e-07
-6.13534	1.76423e-06	2.23533e-07
-6.10526	2.28964e-06	2.92394e-07
-6.07519	2.96405e-06	3.81539e-07
-6.04511	3.82749e-06	4.96651e-07
-6.01504	4.93005e-06	6.44923e-07
-5.98496	6.33427e-06	8.35428e-07
-5.95489	8.11804e-06	1.07958e-06
-5.92481	1.0378e-05	1.3917e-06
-5.89474	1.32339e-05	1.78971e-06
-5.86466	1.68332e-05	2.29597e-06
-5.83459	2.13579e-05	2.93832e-06
-5.80451	2.70306e-05	3.75127e-06
-5.77444	3.41243e-05	4.77756e-06
-5.74436	4.29714e-05	6.06994e-06
-5.71429	5.39765e-05	7.69329e-06
-5.68421	6.76299e-05	9.72727e-06
-5.65414	8.45243e-05	1.22694e-05
-5.62406	0.000105374	1.54385e-05
-5.59398	0.000131037	1.93795e-05
-5.56391	0.000162541	2.42679e-05
-5.53383	0.000201113	3.03164e-05
-5.50376	0.000248215	3.77815e-05
-5.47368	0.000305579	4.69718e-05
-5.44361	0.000375256	5.82577e-05
-5.41353	0.000459664	7.20822e-05
-5.38346	0.000561646	8.89738e-05
-5.35338	0.000684531	0.000109561
-5.32331	0.00083221	0.00013459
-5.29323	0.00100921	0.000164942
-5.26316	0.00122078	0.000201658
-5.23308	0.00147301	0.000245959
-5.20301	0.00177288	0.000299278
-5.17293	0.00212845	0.000363292
-5.14286	0.00254892	0.000439951
-5.11278	0.00304479	0.000531524
-5.08271	0.003628	0.000640637
-5.05263	0.00431208	0.000770323
-5.02256	0.00511228	0.000924076
-4.99248	0.00604576	0.0011059
-4.96241	0.00713176	0.00132039
-4.93233	0.00839171	0.00157277
-4.90226	0.00984949	0.001869
-4.87218	0.0115315	0.00221581
-4.84211	0.0134669	0.00262083
-4.81203	0.0156876	0.00309264
-4.78195	0.0182286	0.00364087
-4.75188	0.0211281	0.0042763
-4.7218	0.0244274	0.00501096
-4.69173	0.028171	0.00585821
-4.66165	0.0324068	0.00683284
-4.63158	0.0371859	0.00795122
-4.6015	0.0425627	0.0092313
-4.57143	0.0485947	0.0106928
-4.54135	0.0553424	0.0123572
-4.51128	0.0628689	0.014248
-4.4812	0.0712397	0.0163906
-4.45113	0.0805225	0.0188123
-4.42105	0.0907866	0.0215427
-4.39098	0.102102	0.0246135
-4.3609	0.11454	0.0280583
-4.33083	0.12817	0.031913
-4.30075	0.143063	0.0362156
-4.27068	0.159285	0.0410062
-4.2406	0.176901	0.0463265
-4.21053	0.195973	0.0522204
-4.18045	0.216557	0.0587334
-4.15038	0.238701	0.0659124
-4.1203	0.26245	0.0738057
-4.09023	0.287838	0.0824624
-4.06015	0.31489	0.0919328
-4.03008	0.343619	0.102267
-4	0.374028	0.113516
-3.96992	0.406107	0.12573
-3.93985	0.439831	0.138958
-3.90977	0.47516	0.153248
-3.8797	0.512039	0.168648
-3.84962	0.550395	0.185201
-3.81955	0.590139	0.20295
-3.78947	0.631166	0.221932
-3.7594	0.673352	0.242184
-3.72932	0.716554	0.263734
-3.69925	0.760614	0.28661
-3.66917	0.805358	0.310831
-3.6391	0.850594	0.336413
-3.60902	0.896116	0.363364
-3.57895	0.941705	0.391685
-3.54887	0.987131	0.421374
-3.5188	1.03215	0.452416
-3.48872	1.07652	0.484792
-3.45865	1.11997	0.518476
-3.42857	1.16226	0.553431
-3.3985	1.20311	0.589614
-3.36842	1.24228	0.626976
-3.33835	1.2795	0.665457
-3.30827	1.31453	0.704992
-3.2782	1.34713	0.745507
-3.24812	1.37707	0.786923
-3.21805	1.40415	0.829153
-3.18797	1.42817	0.872105
-3.15789	1.44895	0.915683
-3.12782	1.46635	0.959783
-3.09774	1.48023	1.0043
-3.06767	1.49049	1.04913
-3.03759	1.49706	1.09415
-3.00752	1.49988	1.13926
-2.97744	1.49894	1.18434
-2.94737	1.49424	1.22928
-2.91729	1.48582	1.27397
-2.88722	1.47373	1.31829
-2.85714	1.45808	1.36214
-2.82707	1.43897	1.40542
-2.79699	1.41655	1.44802
-2.76692	1.39098	1.48986
-2.73684	1.36245	1.53083
-2.70677	1.33115	1.57087
-2.67669	1.2973	1.60988
-2.64662	1.26115	1.64781
-2.61654	1.22292	1.68459
-2.58647	1.18288	1.72017
-2.55639	1.14128	1.75449
-2.52632	1.09837	1.78753
-2.49624	1.05443	1.81924
-2.46617	1.00971	1.84961
-2.43609	0.964454	1.87861
-2.40602	0.918916	1.90625
-2.37594	0.873332	1.93251
-2.34586	0.827927	1.95741
-2.31579	0.782912	1.98096
-2.28571	0.738487	2.00317
-2.25564	0.694835	2.02407
-2.22556	0.652123	2.04368
-2.19549	0.6105	2.06204
-2.16541	0.5701	2.07919
-2.13534	0.531037	2.09516
-2.10526	0.49341	2.11
-2.07519	0.457298	2.12375
-2.04511	0.422766	2.13647
-2.01504	0.38986	2.14819
-1.98496	0.358614	2.15898
-1.95489	0.329044	2.16887
-1.92481	0.301155	2.17793
-1.89474	0.274937	2.1862
-1.86466	0.250373	2.19373
-1.83459	0.227431	2.20057
-1.80451	0.206072	2.20677
-1.77444	0.186251	2.21237
-1.74436	0.167914	2.21742
-1.71429	0.151002	2.22196
-1.68421	0.135453	2.22603
-1.65414	0.1212	2.22968
-1.62406	0.108174	2.23293
-1.59398	0.0963062	2.23583
-1.56391	0.0855247	2.2384
-1.53383	0.0757593	2.24068
-1.50376	0.0669402	2.24269
-1.47368	0.0589989	2.24447
-1.44361	0.0518686	2.24603
-1.41353	0.0454849	2.24739
-1.38346	0.0397859	2.24859
-1.35338	0.0347126	2.24963
-1.32331	0.0302089	2.25054
-1.29323	0.026222	2.25133
-1.26316	0.0227022	2.25201
-1.23308	0.0196031	2.2526
-1.20301	0.0168817	2.25311
-1.17293	0.014498	2.25355
-1.14286	0.0124152	2.25392
-1.11278	0.0105997	2.25424
-1.08271	0.00902053	2.25451
-1.05263	0.00764952	2.25474
-1.02256	0.00646112	2.25494
-0.992481	0.00543217	2.2551
-0.962406	0.00454172	2.25524
-0.932331	0.00377089	2.25535
-0.902256	0.00310264	2.25544
-0.87218	0.00252163	2.25552
-0.842105	0.00201405	2.25558
-0.81203	0.0015674	2.25563
-0.781955	0.00117038	2.25566
-0.75188	0.000812688	2.25569
-0.721805	0.000484895	2.2557
-0.691729	0.00017828	2.25571
-0.661654	-0.000115306	2.2557
-0.631579	-0.000403571	2.25569
-0.601504	-0.000693917	2.25567
-0.571429	-0.00099356	2.25564
-0.541353	-0.00130965	2.2556
-0.511278	-0.00164937	2.25555
-0.481203	-0.00202007	2.25549
-0.451128	-0.00242937	2.25542
-0.421053	-0.00288521	2.25533
-0.390977	-0.00339603	2.25523
-0.360902	-0.0039708	2.25511
-0.330827	-0.00461914	2.25497
-0.300752	-0.0053514	2.25481
-0.270677	-0.00617873	2.25462
-0.240602	-0.00711323	2.25441
-0.210526	-0.00816792	2.25416
-0.180451	-0.00935692	2.25388
-0.150376	-0.0106955	2.25356
-0.120301	-0.0121999	2.25319
-0.0902256	-0.013888	2.25278
-0.0601504	-0.0157787	2.2523
-0.0300752	-0.0178922	2.25176
0	-0.0202503	2.25115
0.0300752	-0.022876	2.25047
0.0601504	-0.0257938	2.24969
0.0902256	-0.0290296	2.24882
0.120301	-0.0326106	2.24784
0.150376	-0.0365656	2.24674
0.180451	-0.0409243	2.24551
0.210526	-0.0457179	2.24413
0.240602	-0.0509787	2.2426
0.270677	-0.0567398	2.24089
0.300752	-0.0630355	2.239
0.330827	-0.0699006	2.23689
0.360902	-0.0773703	2.23457
0.390977	-0.0854803	2.232
0.421053	-0.0942661	2.22916
0.451128	-0.103763	2.22604
0.481203	-0.114007	2.22261
0.511278	-0.12503	2.21885
0.541353	-0.136866	2.21473
0.571429	-0.149547	2.21024
0.601504	-0.163101	2.20533
0.631579	-0.177556	2.19999
0.661654	-0.192935	2.19419
0.691729	-0.209259	2.18789
0.721805	-0.226547	2.18108
0.75188	-0.24481	2.17372
0.781955	-0.264057	2.16578
0.81203	-0.284292	2.15723
0.842105	-0.305514	2.14804
0.87218	-0.327714	2.13818
0.902256	-0.350879	2.12763
0.932331	-0.374989	2.11635
0.962406	-0.400016	2.10432
0.992481	-0.425926	2.09151
1.02256	-0.452679	2.0779
1.05263	-0.480224	2.06345
1.08271	-0.508506	2.04816
1.11278	-0.537461	2.032
1.14286	-0.567017	2.01494
1.17293	-0.597095	1.99699
1.20301	-0.627609	1.97811
1.23308	-0.658465	1.95831
1.26316	-0.689564	1.93757
1.29323	-0.720801	1.91589
1.32331	-0.752063	1.89327
1.35338	-0.783234	1.86972
1.38346	-0.814192	1.84523
1.41353	-0.844813	1.81982
1.44361	-0.874969	1.79351
1.47368	-0.90453	1.7663
1.50376	-0.933365	1.73823
1.53383	-0.961343	1.70932
1.56391	-0.988334	1.67959
1.59398	-1.01421	1.64909
1.62406	-1.03884	1.61785
1.65414	-1.06211	1.5859
1.68421	-1.0839	1.55331
1.71429	-1.10409	1.5201
1.74436	-1.12259	1.48634
1.77444	-1.13929	1.45207
1.80451	-1.15411	1.41736
1.83459	-1.16696	1.38227
1.86466	-1.17778	1.34685
1.89474	-1.18651	1.31116
1.92481	-1.1931	1.27528
1.95489	-1.19751	1.23926
1.98496	-1.19972	1.20318
2.01504	-1.19972	1.1671
2.04511	-1.19751	1.13108
2.07519	-1.1931	1.0952
2.10526	-1.18651	1.05952
2.13534	-1.17778	1.0241
2.16541	-1.16696	0.988999
2.19549	-1.15411	0.954289
2.22556	-1.13929	0.920024
2.25564	-1.12259	0.886262
2.28571	-1.10409	0.853057
2.31579	-1.0839	0.820458
2.34586	-1.06211	0.788515
2.37594	-1.03884	0.757272
2.40602	-1.01421	0.726769
2.43609	-0.988334	0.697045
2.46617	-0.961343	0.668132
2.49624	-0.933365	0.640061
2.52632	-0.90453	0.612857
2.55639	-0.874969	0.586542
2.58647	-0.844813	0.561134
2.61654	-0.814192	0.536647
2.64662	-0.783234	0.513092
2.67669	-0.752063	0.490473
2.70677	-0.720801	0.468795
2.73684	-0.689564	0.448056
2.76692	-0.658465	0.428253
2.79699	-0.627609	0.409377
2.82707	-0.597095	0.39142
2.85714	-0.567017	0.374366
2.88722	-0.537461	0.358202
2.91729	-0.508506	0.342909
2.94737	-0.480224	0.328466
2.97744	-0.452679	0.314851
3.00752	-0.425926	0.302042
3.03759	-0.400016	0.290011
3.06767	-0.374989	0.278733
3.09774	-0.350879	0.26818
3.12782	-0.327714	0.258324
3.15789	-0.305514	0.249136
3.18797	-0.284292	0.240586
3.21805	-0.264057	0.232644
3.24812	-0.24481	0.225282
3.2782	-0.226547	0.218468
3.30827	-0.209259	0.212175
3.33835	-0.192935	0.206372
3.36842	-0.177556	0.201032
3.3985	-0.163101	0.196127
3.42857	-0.149547	0.191629
3.45865	-0.136866	0.187513
3.48872	-0.12503	0.183753
3.5188	-0.114007	0.180324
3.54887	-0.103763	0.177203
3.57895	-0.0942662	0.174368
3.60902	-0.0854804	0.171797
3.6391	-0.0773705	0.16947
3.66917	-0.0699009	0.167368
3.69925	-0.063036	0.165472
3.72932	-0.0567404	0.163766
3.7594	-0.0509793	0.162232
3.78947	-0.0457188	0.160857
3.81955	-0.0409255	0.159627
3.84962	-0.0365671	0.158527
3.8797	-0.0326126	0.157546
3.90977	-0.0290322	0.156673
3.93985	-0.0257971	0.155897
3.96992	-0.0228803	0.155209
4	-0.0202559	0.1546
