# wavelength_nm	absorbance
441.642	1.788
442.142	1.78939
442.643	1.77823
443.143	1.77798
443.644	1.77204
444.144	1.76637
444.645	1.75029
445.145	1.74991
445.646	1.74365
446.146	1.75266
446.647	1.75345
447.147	1.73363
447.648	1.74586
448.148	1.7334
448.649	1.72849
449.149	1.72997
449.65	1.72207
450.15	1.73642
450.651	1.72575
451.151	1.73268
451.652	1.71721
452.152	1.71472
452.653	1.73465
453.153	1.69685
453.654	1.72311
454.154	1.724
454.655	1.71233
455.155	1.6986
455.656	1.71343
456.156	1.69322
456.657	1.68667
457.157	1.68715
457.658	1.68266
458.158	1.67625
458.659	1.69419
459.159	1.67275
459.66	1.6776
460.16	1.6609
460.661	1.6731
461.161	1.65871
461.662	1.65596
462.162	1.6642
462.663	1.6734
463.163	1.6648
463.664	1.66308
464.164	1.6543
464.665	1.64987
465.165	1.65879
465.666	1.64292
466.166	1.65459
466.667	1.65632
467.167	1.63329
467.668	1.63252
468.168	1.63179
468.669	1.62038
469.169	1.62817
469.67	1.64373
470.17	1.61812
470.671	1.63971
471.171	1.62003
471.672	1.64342
472.172	1.61341
472.673	1.61674
473.173	1.60706
473.674	1.60728
474.174	1.62555
474.675	1.61495
475.175	1.61854
475.676	1.59315
476.176	1.61094
476.677	1.59277
477.177	1.58722
477.678	1.6011
478.178	1.59913
478.679	1.59553
479.179	1.60033
479.68	1.60006
480.18	1.6042
480.681	1.5758
481.181	1.60092
481.682	1.60293
482.182	1.57867
482.683	1.56387
483.183	1.56495
483.684	1.5724
484.184	1.5954
484.685	1.57368
485.185	1.56558
485.686	1.56315
486.186	1.55503
486.687	1.57525
487.187	1.56383
487.688	1.584
488.188	1.56753
488.689	1.56778
489.189	1.5553
489.69	1.54504
490.19	1.54543
490.691	1.53869
491.191	1.55969
491.692	1.54492
492.192	1.55648
492.693	1.54648
493.193	1.54034
493.694	1.52971
494.194	1.54254
494.695	1.53543
495.195	1.54472
495.696	1.5266
496.196	1.53795
496.697	1.5462
497.197	1.5305
497.698	1.53358
498.198	1.52937
498.699	1.54052
499.199	1.52312
499.7	1.52423
500.2	1.51466
500.701	1.50503
501.201	1.4984
501.702	1.52082
502.202	1.49569
502.703	1.51082
503.203	1.50505
503.704	1.50755
504.204	1.49066
504.705	1.48528
505.205	1.4943
505.706	1.48486
506.206	1.47268
506.707	1.50152
507.207	1.47131
507.708	1.4663
508.208	1.47076
508.709	1.48259
509.209	1.4452
509.71	1.47529
510.21	1.45113
510.711	1.45947
511.211	1.44655
511.712	1.46963
512.212	1.44728
512.713	1.43518
513.213	1.43539
513.714	1.43534
514.214	1.43216
514.715	1.43062
515.215	1.42196
515.716	1.40384
516.216	1.40974
516.717	1.41463
517.217	1.39718
517.718	1.4058
518.218	1.39446
518.719	1.38693
519.219	1.39588
519.72	1.36127
520.22	1.36649
520.721	1.38002
521.221	1.38032
521.722	1.37908
522.222	1.35078
522.723	1.34877
523.223	1.34614
523.724	1.34436
524.224	1.32823
524.725	1.32771
525.225	1.31625
525.726	1.30992
526.226	1.28842
526.727	1.28706
527.227	1.27772
527.728	1.2635
528.228	1.25116
528.729	1.25558
529.229	1.24915
529.73	1.24466
530.23	1.24082
530.731	1.22865
531.231	1.21555
531.732	1.20015
532.232	1.2091
532.733	1.19019
533.233	1.17759
533.734	1.17062
534.234	1.15557
534.735	1.14785
535.235	1.13764
535.736	1.13035
536.236	1.12959
536.737	1.11677
537.237	1.1177
537.738	1.10374
538.238	1.10043
538.739	1.07558
539.239	1.06441
539.74	1.04297
540.24	1.04485
540.741	1.01866
541.241	0.999032
541.742	1.01741
542.242	0.97796
542.743	0.983048
543.243	0.957973
543.744	0.966072
544.244	0.955384
544.745	0.935919
545.245	0.930895
545.746	0.906246
546.246	0.916199
546.747	0.888954
547.247	0.860077
547.748	0.857333
548.248	0.842635
548.749	0.829156
549.249	0.802573
549.75	0.810487
550.25	0.780232
550.751	0.756311
551.251	0.765611
551.752	0.748997
552.252	0.73547
552.753	0.700615
553.253	0.710737
553.754	0.705154
554.254	0.688245
554.755	0.686215
555.255	0.684087
555.756	0.663214
556.256	0.65628
556.757	0.645157
557.257	0.612014
557.758	0.614825
558.258	0.608716
558.759	0.58284
559.259	0.567837
559.76	0.569706
560.26	0.538362
560.761	0.531198
561.261	0.524437
561.762	0.524767
562.262	0.511743
562.763	0.509307
563.263	0.479335
563.764	0.468513
564.264	0.473367
564.765	0.45015
565.265	0.442262
565.766	0.420042
566.266	0.431986
566.767	0.435114
567.267	0.400189
567.768	0.411639
568.268	0.391927
568.769	0.366126
569.269	0.366252
569.77	0.357215
570.27	0.355356
570.771	0.354618
571.271	0.360974
571.772	0.320396
572.272	0.322241
572.773	0.310669
573.273	0.299647
573.774	0.306136
574.274	0.298207
574.775	0.273219
575.275	0.284857
575.776	0.266091
576.276	0.271882
576.777	0.278226
577.277	0.264076
577.778	0.255279
578.278	0.242418
578.779	0.242716
579.279	0.242161
579.78	0.235788
580.28	0.224906
580.781	0.222956
581.281	0.202631
581.782	0.203596
582.282	0.213283
582.783	0.21002
583.283	0.198048
583.784	0.207533
584.284	0.193572
584.785	0.182022
585.285	0.16813
585.786	0.190798
586.286	0.180304
586.787	0.18688
587.287	0.186963
587.788	0.148923
588.288	0.145546
588.789	0.126449
589.289	0.16105
589.79	0.155309
590.29	0.146688
590.791	0.130502
591.291	0.139011
591.792	0.138969
592.292	0.142251
592.793	0.134535
593.293	0.1359
593.794	0.125553
594.294	0.136214
594.795	0.128392
595.295	0.10795
595.796	0.131523
596.296	0.127764
596.797	0.118105
597.297	0.11426
597.798	0.126102
598.298	0.091305
598.799	0.118229
599.299	0.0992892
599.8	0.113291
600.3	0.101883
600.801	0.0866417
601.301	0.0925464
601.802	0.106218
602.302	0.0924334
602.803	0.0869011
603.303	0.0854587
603.804	0.09683
604.304	0.106622
604.805	0.0664559
605.305	0.114659
605.806	0.0875156
606.306	0.0901428
606.807	0.078876
607.307	0.082136
607.808	0.0830625
608.308	0.0696451
608.809	0.0711095
609.309	0.0900729
609.81	0.0617943
610.31	0.0808474
610.811	0.0718791
611.311	0.0651515
611.812	0.0936783
612.312	0.0636399
612.813	0.0611344
613.313	0.0698401
613.814	0.0633218
614.314	0.0703911
614.815	0.071223
615.315	0.0713783
615.816	0.0671759
616.316	0.0607961
616.817	0.0736738
617.317	0.0655633
617.818	0.0611826
618.318	0.0804146
618.819	0.0638943
619.319	0.0755363
619.82	0.0764097
620.32	0.0765582
620.821	0.0701481
621.321	0.0627995
621.822	0.0617486
622.322	0.0595445
622.823	0.0399265
623.323	0.0684058
623.824	0.063297
624.324	0.0687539
624.825	0.0589864
625.325	0.0664736
625.826	0.0457299
626.326	0.0475023
626.827	0.0341329
627.327	0.0572613
627.828	0.0505987
628.328	0.0490184
628.829	0.0611359
629.329	0.05328
629.83	0.0429581
630.33	0.0824986
630.831	0.0564505
631.331	0.0457661
631.832	0.0496838
632.332	0.0544421
632.833	0.0542193
633.333	0.0687982
633.834	0.0547934
634.334	0.0739571
634.835	0.050904
635.335	0.0593216
635.836	0.0651116
636.336	0.0666833
636.837	0.0676957
637.337	0.0517071
637.838	0.0542275
638.338	0.029348
638.839	0.0520466
639.339	0.0647881
639.84	0.062717
640.34	0.0527611
640.841	0.0704986
641.341	0.0495523
641.842	0.0461199
642.342	0.0484922
642.843	0.0418453
643.343	0.0591933
643.844	0.0557569
644.344	0.0588778
644.845	0.0485433
645.345	0.0520183
645.846	0.0307297
646.346	0.0561938
646.847	0.0533402
647.347	0.0412695
647.848	0.0511537
648.348	0.0495496
648.849	0.0697015
649.349	0.0413797
649.85	0.0552399
650.35	0.0409549
650.851	0.0462228
651.351	0.0545107
651.852	0.0495717
652.352	0.0515702
652.853	0.0549039
653.353	0.0465881
653.854	0.0603164
654.354	0.0483718
654.855	0.0504043
655.355	0.0549477
655.856	0.0535609
656.356	0.0576908
656.857	0.0543772
657.357	0.0558583
657.858	0.047876
658.358	0.0404049
658.859	0.0367804
659.359	0.0343151
659.86	0.0686159
660.36	0.0288285
660.861	0.0628621
661.361	0.0426858
661.862	0.0627296
662.362	0.0288114
662.863	0.0484584
663.363	0.0653231
663.864	0.0578892
664.364	0.0473597
664.865	0.0312785
665.365	0.0374602
665.866	0.0645541
666.366	0.0471584
666.867	0.0499016
667.367	0.0534348
667.868	0.0375514
668.368	0.0546337
668.869	0.0463463
669.369	0.0534616
669.87	0.0447269
670.37	0.0347596
670.871	0.0462009
671.371	0.0568669
671.872	0.0543846
672.372	0.0507388
672.873	0.0593967
673.373	0.0483658
673.874	0.0509513
674.374	0.0455781
674.875	0.0599297
675.375	0.0532668
675.876	0.0447704
676.376	0.0354386
676.877	0.0613677
677.377	0.042867
677.878	0.0510182
678.378	0.0738138
678.879	0.0582934
679.379	0.0663807
679.88	0.0448791
680.38	0.0609616
680.881	0.0505103
681.381	0.0538958
681.882	0.0704363
682.382	0.0474339
682.883	0.0504057
683.383	0.041174
683.884	0.0590841
684.384	0.0445866
684.885	0.0604136
685.385	0.0336813
685.886	0.0556609
686.386	0.0437318
686.887	0.0574684
687.387	0.0500223
687.888	0.0447993
688.388	0.0462821
688.889	0.0416389
689.389	0.058516
689.89	0.0396472
690.39	0.0474584
690.891	0.0535774
691.391	0.0662558
691.892	0.0500239
692.392	0.047688
692.893	0.0528457
693.393	0.0293711
693.894	0.0381159
694.394	0.0463453
694.895	0.042966
695.395	0.0340842
695.896	0.0586673
696.396	0.0526842
696.897	0.0514864
697.397	0.0431411
697.898	0.0508723
698.398	0.0552203
698.899	0.0474243
699.399	0.0545166
699.9	0.0421079
700.4	0.0510412
700.901	0.0614891
701.401	0.0623822
701.902	0.0633359
702.402	0.0529137
702.903	0.0503723
703.403	0.0455664
703.904	0.0319776
704.404	0.0366018
704.905	0.0483686
705.405	0.0489646
705.906	0.0641682
706.406	0.0631924
706.907	0.0431781
707.407	0.0582248
707.908	0.0452695
708.408	0.056865
708.909	0.0580978
709.409	0.0624573
709.91	0.0451087
710.41	0.0601771
710.911	0.0313048
711.411	0.062994
711.912	0.0497806
712.412	0.0499925
712.913	0.0296544
713.413	0.0461412
713.914	0.0635817
714.414	0.045759
714.915	0.0571598
715.415	0.0503699
715.916	0.0606503
716.416	0.0519378
716.917	0.0407039
717.417	0.0505858
717.918	0.0660328
718.418	0.0549964
718.919	0.0488548
719.419	0.0725761
719.92	0.0616102
720.42	0.0581848
720.921	0.0531903
721.421	0.0573191
721.922	0.0576431
722.422	0.0281871
722.923	0.0539641
723.423	0.0484062
723.924	0.0450161
724.424	0.048059
724.925	0.0344544
725.425	0.0319664
725.926	0.0624771
726.426	0.0546333
726.927	0.0258812
727.427	0.0442471
727.928	0.0588161
728.428	0.0472101
728.929	0.0624599
729.429	0.0605071
729.93	0.0364421
730.43	0.0485757
730.931	0.0455278
731.431	0.036116
731.932	0.0354654
732.432	0.0419476
732.933	0.0435983
733.433	0.0528396
733.934	0.0604492
734.434	0.0551433
734.935	0.0575104
735.435	0.0473402
735.936	0.0560362
736.436	0.0485223
736.937	0.0455911
737.437	0.0689766
737.938	0.0267007
738.438	0.0312722
738.939	0.0538321
739.439	0.0473551
739.94	0.0356349
740.44	0.0394585
740.941	0.0407604
741.441	0.0589277
741.942	0.0621283
742.442	0.0663996
742.943	0.0341138
743.443	0.0363325
743.944	0.0356474
744.444	0.0628921
744.945	0.0541756
745.445	0.0508053
745.946	0.0522995
746.446	0.0494353
746.947	0.0387916
747.447	0.0551346
747.948	0.0481414
748.448	0.0379995
748.949	0.0557455
749.449	0.0457446
749.95	0.0522773
750.45	0.0487526
750.951	0.0589161
751.451	0.0522038
751.952	0.0411651
752.452	0.0532221
752.953	0.0535489
753.453	0.0551153
753.954	0.0603606
754.454	0.043842
754.955	0.0566811
755.455	0.0327535
755.956	0.0488018
756.456	0.047255
756.957	0.06448
757.457	0.0484381
757.958	0.0560813
758.458	0.0323836
758.959	0.0464838
759.459	0.0415377
759.96	0.0747564
760.46	0.0433332
760.961	0.050734
761.461	0.0512669
761.962	0.0341063
762.462	0.0447407
762.963	0.0540487
763.463	0.0508582
763.964	0.0269968
764.464	0.044331
764.965	0.0602091
765.465	0.0558831
765.966	0.0621812
766.466	0.0401443
766.967	0.0628101
767.467	0.0495567
767.968	0.065923
768.468	0.0500338
768.969	0.0295259
769.469	0.0584932
769.97	0.0455655
770.47	0.0462383
770.971	0.0354696
771.471	0.0662226
771.972	0.0447895
772.472	0.0657509
772.973	0.0456881
773.473	0.0407231
773.974	0.0631958
774.474	0.0492671
774.975	0.0493647
775.475	0.0371842
775.976	0.0454242
776.476	0.0542874
776.977	0.0370086
777.477	0.0446095
777.978	0.0457959
778.478	0.0506648
778.979	0.0647959
779.479	0.0470008
779.98	0.0430953
780.48	0.077464
780.981	0.0456685
781.481	0.0480937
781.982	0.0464218
782.482	0.0472326
782.983	0.0507778
783.483	0.0592082
783.984	0.0540401
784.484	0.0607712
784.985	0.0604405
785.485	0.0520857
785.986	0.0537633
786.486	0.0610876
786.987	0.0388881
787.487	0.0749823
787.988	0.0448743
788.488	0.0464905
788.989	0.0378812
789.489	0.0381787
789.99	0.0597405
790.49	0.0727021
790.991	0.0443278
791.491	0.0534733
791.992	0.0522018
792.492	0.0600026
792.993	0.0721873
793.493	0.0652099
793.994	0.0476135
794.494	0.0552878
794.995	0.0562807
795.495	0.0497992
795.996	0.0390408
796.496	0.0420123
796.997	0.0614816
797.497	0.0625132
797.998	0.0479244
798.498	0.0526106
798.999	0.0619727
799.499	0.0329574
800	0.0455366
