# BE	CPS
713.157	3.01566
713.182	3.01879
713.207	2.97768
713.232	3.01597
713.257	2.94333
713.282	3.0351
713.307	3.02345
713.332	2.99366
713.357	2.97112
713.382	2.91829
713.407	2.94358
713.432	2.89325
713.457	2.83687
713.482	2.9157
713.507	2.8914
713.532	2.84331
713.557	2.79401
713.582	2.79951
713.607	2.74859
713.632	2.81752
713.657	2.72683
713.682	2.76914
713.707	2.72065
713.732	2.68845
713.757	2.72354
713.782	2.69138
713.807	2.71142
713.832	2.63302
713.857	2.633
713.882	2.56867
713.907	2.55927
713.932	2.66318
713.957	2.65612
713.982	2.58073
714.008	2.53753
714.033	2.53757
714.058	2.55701
714.083	2.49964
714.108	2.50648
714.133	2.48327
714.158	2.45093
714.183	2.43659
714.208	2.44561
714.233	2.392
714.258	2.41942
714.283	2.37636
714.308	2.37906
714.333	2.40158
714.358	2.33995
714.383	2.35763
714.408	2.26142
714.433	2.28635
714.458	2.2867
714.483	2.3291
714.508	2.19828
714.533	2.24002
714.558	2.27257
714.583	2.19144
714.608	2.19488
714.633	2.19765
714.658	2.17983
714.683	2.20803
714.708	2.16144
714.733	2.17492
714.758	2.11155
714.783	2.08757
714.808	2.09063
714.833	2.05042
714.858	2.08766
714.883	2.04971
714.908	2.02945
714.933	2.05305
714.958	1.99245
714.983	2.03872
715.008	1.99027
715.033	2.02859
715.058	1.9714
715.083	1.99168
715.108	1.96782
715.133	1.97464
715.158	1.94567
715.183	1.8827
715.209	1.95326
715.234	1.91092
715.259	1.92796
715.284	1.91587
715.309	1.86301
715.334	1.84997
715.359	1.88845
715.384	1.85121
715.409	1.88008
715.434	1.83847
715.459	1.8665
715.484	1.84063
715.509	1.82885
715.534	1.80141
715.559	1.81218
715.584	1.8337
715.609	1.78913
715.634	1.79968
715.659	1.77826
715.684	1.77386
715.709	1.81521
715.734	1.79308
715.759	1.75305
715.784	1.75087
715.809	1.71728
715.834	1.72716
715.859	1.73577
715.884	1.74626
715.909	1.73759
715.934	1.67632
715.959	1.73351
715.984	1.69624
716.009	1.66412
716.034	1.72874
716.059	1.72758
716.084	1.68673
716.109	1.69532
716.134	1.69242
716.159	1.70671
716.184	1.68222
716.209	1.61617
716.234	1.71203
716.259	1.67952
716.284	1.62817
716.309	1.60857
716.334	1.65069
716.359	1.62338
716.384	1.63788
716.41	1.64663
716.435	1.60376
716.46	1.58378
716.485	1.62543
716.51	1.59452
716.535	1.61165
716.56	1.56379
716.585	1.59342
716.61	1.6194
716.635	1.61318
716.66	1.56846
716.685	1.55425
716.71	1.58703
716.735	1.60071
716.76	1.59342
716.785	1.56336
716.81	1.58518
716.835	1.6189
716.86	1.57763
716.885	1.52019
716.91	1.57305
716.935	1.62611
716.96	1.52406
716.985	1.56152
717.01	1.55185
717.035	1.55958
717.06	1.56065
717.085	1.58719
717.11	1.55377
717.135	1.58783
717.16	1.54431
717.185	1.53573
717.21	1.5246
717.235	1.48865
717.26	1.54998
717.285	1.60191
717.31	1.55268
717.335	1.55822
717.36	1.52396
717.385	1.5278
717.41	1.5635
717.435	1.59309
717.46	1.57638
717.485	1.55487
717.51	1.53077
717.535	1.53505
717.56	1.50525
717.585	1.48354
717.611	1.49236
717.636	1.52688
717.661	1.51588
717.686	1.47986
717.711	1.52216
717.736	1.5131
717.761	1.48689
717.786	1.51043
717.811	1.5114
717.836	1.50206
717.861	1.54793
717.886	1.46265
717.911	1.45981
717.936	1.51916
717.961	1.52167
717.986	1.53066
718.011	1.50216
718.036	1.49061
718.061	1.51779
718.086	1.50466
718.111	1.56436
718.136	1.50807
718.161	1.5162
718.186	1.59209
718.211	1.51204
718.236	1.53467
718.261	1.53751
718.286	1.54022
718.311	1.52716
718.336	1.52452
718.361	1.52198
718.386	1.50198
718.411	1.52935
718.436	1.5808
718.461	1.55665
718.486	1.52987
718.511	1.54688
718.536	1.49561
718.561	1.51439
718.586	1.55118
718.611	1.56794
718.636	1.5008
718.661	1.51006
718.686	1.59068
718.711	1.52883
718.736	1.58137
718.761	1.53364
718.786	1.53561
718.812	1.51988
718.837	1.55818
718.862	1.57152
718.887	1.50065
718.912	1.52207
718.937	1.56107
718.962	1.53074
718.987	1.52087
719.012	1.56702
719.037	1.57094
719.062	1.52548
719.087	1.5465
719.112	1.50507
719.137	1.51568
719.162	1.54752
719.187	1.54603
719.212	1.5174
719.237	1.52627
719.262	1.51718
719.287	1.5642
719.312	1.49297
719.337	1.52313
719.362	1.4991
719.387	1.5691
719.412	1.50402
719.437	1.56066
719.462	1.61054
719.487	1.61323
719.512	1.51056
719.537	1.57544
719.562	1.53859
719.587	1.53428
719.612	1.56852
719.637	1.61065
719.662	1.59371
719.687	1.55622
719.712	1.60082
719.737	1.51438
719.762	1.56117
719.787	1.56114
719.812	1.59035
719.837	1.58409
719.862	1.58815
719.887	1.5894
719.912	1.59761
719.937	1.61547
719.962	1.60612
719.987	1.59553
720.013	1.61856
720.038	1.63379
720.063	1.59487
720.088	1.61235
720.113	1.65161
720.138	1.58634
720.163	1.67628
720.188	1.58472
720.213	1.61734
720.238	1.60205
720.263	1.69909
720.288	1.6213
720.313	1.62437
720.338	1.63132
720.363	1.6484
720.388	1.63883
720.413	1.64789
720.438	1.54925
720.463	1.66015
720.488	1.66233
720.513	1.69636
720.538	1.70794
720.563	1.66657
720.588	1.70027
720.613	1.64638
720.638	1.70615
720.663	1.66972
720.688	1.65518
720.713	1.68904
720.738	1.74057
720.763	1.70801
720.788	1.75156
720.813	1.68836
720.838	1.74648
720.863	1.69977
720.888	1.73046
720.913	1.73464
720.938	1.75249
720.963	1.74476
720.988	1.71973
721.013	1.77306
721.038	1.80342
721.063	1.73887
721.088	1.70631
721.113	1.78143
721.138	1.76168
721.163	1.77293
721.188	1.79889
721.214	1.77395
721.239	1.78511
721.264	1.79579
721.289	1.84861
721.314	1.81125
721.339	1.7792
721.364	1.78642
721.389	1.83261
721.414	1.8008
721.439	1.79417
721.464	1.86657
721.489	1.87463
721.514	1.84975
721.539	1.87643
721.564	1.88021
721.589	1.89971
721.614	1.90698
721.639	1.81799
721.664	1.89642
721.689	1.92677
721.714	1.90666
721.739	1.92794
721.764	1.9574
721.789	1.94548
721.814	1.99662
721.839	1.99367
721.864	1.96494
721.889	1.97135
721.914	1.90074
721.939	1.98559
721.964	1.96408
721.989	2.02078
722.014	2.02838
722.039	2.0545
722.064	2.08553
722.089	2.05304
722.114	2.13263
722.139	2.08178
722.164	2.04628
722.189	2.0797
722.214	2.09657
722.239	2.1369
722.264	2.10233
722.289	2.13362
722.314	2.14977
722.339	2.15342
722.364	2.20369
722.389	2.21129
722.415	2.23999
722.44	2.20824
722.465	2.26766
722.49	2.20431
722.515	2.21747
722.54	2.23685
722.565	2.28792
722.59	2.33835
722.615	2.29909
722.64	2.31799
722.665	2.34119
722.69	2.38049
722.715	2.36487
722.74	2.37934
722.765	2.37138
722.79	2.41123
722.815	2.48061
722.84	2.46515
722.865	2.45762
722.89	2.53453
722.915	2.49776
722.94	2.57602
722.965	2.59386
722.99	2.57199
723.015	2.54412
723.04	2.67674
723.065	2.63884
723.09	2.63687
723.115	2.6948
723.14	2.70689
723.165	2.745
723.19	2.70578
723.215	2.75531
723.24	2.73039
723.265	2.80624
723.29	2.80592
723.315	2.83543
723.34	2.84303
723.365	2.8603
723.39	2.86217
723.415	2.93226
723.44	2.97348
723.465	2.93221
723.49	2.9855
723.515	3.00167
723.54	3.00854
723.565	2.98184
723.59	3.00766
723.616	3.04203
723.641	3.01968
723.666	3.14409
723.691	3.13045
723.716	3.13562
723.741	3.0874
723.766	3.11444
723.791	3.18454
723.816	3.25855
723.841	3.19265
723.866	3.25299
723.891	3.22541
723.916	3.25343
723.941	3.29937
723.966	3.26288
723.991	3.26202
724.016	3.33385
724.041	3.30034
724.066	3.33844
724.091	3.29093
724.116	3.3585
724.141	3.32833
724.166	3.33601
724.191	3.32876
724.216	3.31049
724.241	3.32545
724.266	3.31107
724.291	3.35099
724.316	3.313
724.341	3.27011
724.366	3.2596
724.391	3.25222
724.416	3.3157
724.441	3.25487
724.466	3.28982
724.491	3.27549
724.516	3.25923
724.541	3.26335
724.566	3.24324
724.591	3.14481
724.616	3.20335
724.641	3.21215
724.666	3.23437
724.691	3.22098
724.716	3.11422
724.741	3.12888
724.766	3.07624
724.791	3.15228
724.817	3.12019
724.842	3.08313
724.867	3.06013
724.892	3.07887
724.917	3.05589
724.942	3.03622
724.967	2.99697
724.992	2.95448
725.017	2.96958
725.042	2.9526
725.067	2.90394
725.092	2.88066
725.117	2.90675
725.142	2.90429
725.167	2.81356
725.192	2.80991
725.217	2.81021
725.242	2.79628
725.267	2.74814
725.292	2.80261
725.317	2.74122
725.342	2.72713
725.367	2.74677
725.392	2.66355
725.417	2.6576
725.442	2.60609
725.467	2.62218
725.492	2.56658
725.517	2.61781
725.542	2.59233
725.567	2.55602
725.592	2.54617
725.617	2.55713
725.642	2.48555
725.667	2.51135
725.692	2.51205
725.717	2.4237
725.742	2.48406
725.767	2.39989
725.792	2.43343
725.817	2.38916
725.842	2.45434
725.867	2.36428
725.892	2.33733
725.917	2.37891
725.942	2.35081
725.967	2.30664
725.992	2.35634
726.018	2.26983
726.043	2.28774
726.068	2.29104
726.093	2.32205
726.118	2.32675
726.143	2.3111
726.168	2.26375
726.193	2.18607
726.218	2.26136
726.243	2.2847
726.268	2.26874
726.293	2.23696
726.318	2.17891
726.343	2.19055
726.368	2.25623
726.393	2.14779
726.418	2.14811
726.443	2.20325
726.468	2.15464
726.493	2.12489
726.518	2.19911
726.543	2.16018
726.568	2.12814
726.593	2.09862
726.618	2.18796
726.643	2.1195
726.668	2.15599
726.693	2.13486
726.718	2.08654
726.743	2.08103
726.768	2.13419
726.793	2.12919
726.818	2.02364
726.843	2.0912
726.868	2.06596
726.893	2.0336
726.918	2.06757
726.943	2.01446
726.968	2.0363
726.993	2.02179
727.018	2.0263
727.043	2.03482
727.068	2.00226
727.093	2.07578
727.118	2.03935
727.143	2.07444
727.168	2.01195
727.193	1.99653
727.219	2.06208
727.244	1.9884
727.269	1.99689
727.294	2.02043
727.319	1.95837
727.344	2.01359
727.369	2.00657
727.394	2.02406
727.419	2.00966
727.444	2.01901
727.469	1.97382
727.494	1.94845
727.519	2.03489
727.544	1.92312
727.569	1.92353
727.594	1.98074
727.619	2.01006
727.644	1.96459
727.669	1.98653
727.694	1.89438
727.719	1.93704
727.744	1.89363
727.769	1.97114
727.794	1.89924
727.819	1.90531
727.844	1.95711
727.869	1.97164
727.894	1.93316
727.919	1.95322
727.944	1.95049
727.969	1.92618
727.994	1.89814
728.019	1.9463
728.044	1.94618
728.069	1.95307
728.094	1.93412
728.119	1.88826
728.144	1.94262
728.169	1.9205
728.194	1.90474
728.219	1.90909
728.244	1.89598
728.269	1.94214
728.294	1.87175
728.319	1.88335
728.344	1.90219
728.369	1.9594
728.394	1.94158
728.42	1.85973
728.445	1.94852
728.47	1.94753
728.495	1.87092
728.52	1.82962
728.545	1.90226
728.57	1.93728
728.595	1.95056
728.62	1.87594
728.645	1.9539
728.67	1.8338
728.695	1.88892
728.72	1.8868
728.745	1.93327
728.77	1.93705
728.795	1.92616
728.82	1.85647
728.845	1.92234
728.87	1.91124
728.895	1.84536
728.92	1.83303
728.945	1.92575
728.97	1.88881
728.995	1.85527
729.02	1.88722
729.045	1.90404
729.07	1.89031
729.095	1.84594
729.12	1.94879
729.145	1.92209
729.17	1.88166
729.195	1.88264
729.22	1.90208
729.245	1.85722
729.27	1.90062
729.295	1.85087
729.32	1.88854
729.345	1.85549
729.37	1.85691
729.395	1.93974
729.42	1.89208
729.445	1.89648
729.47	1.82988
729.495	1.8723
729.52	1.90404
729.545	1.89604
729.57	1.82562
729.595	1.8965
729.621	1.90134
729.646	1.92893
729.671	1.87085
729.696	1.82334
729.721	1.86081
729.746	1.85793
729.771	1.91308
729.796	1.80963
729.821	1.87784
729.846	1.93425
729.871	1.89188
729.896	1.91875
729.921	1.84282
729.946	1.84424
729.971	1.93565
729.996	1.89582
730.021	1.89614
730.046	1.85977
730.071	1.89662
730.096	1.85951
730.121	1.92979
730.146	1.97633
730.171	1.90934
730.196	1.87611
730.221	1.81949
730.246	1.84532
730.271	1.94286
730.296	1.86571
730.321	1.88584
730.346	1.91701
730.371	1.94222
730.396	1.89218
730.421	1.88644
730.446	1.90115
730.471	1.88061
730.496	1.88267
730.521	1.91269
730.546	1.90635
730.571	1.96521
730.596	1.9149
730.621	1.93676
730.646	1.87057
730.671	1.91897
730.696	1.88203
730.721	1.9161
730.746	1.92541
730.771	1.90678
730.796	1.97804
730.822	1.9492
730.847	1.94223
730.872	1.9304
730.897	1.96093
730.922	1.86549
730.947	1.95029
730.972	1.88003
730.997	1.89342
731.022	1.92779
731.047	1.94855
731.072	1.87756
731.097	1.8974
731.122	1.91632
731.147	1.90843
731.172	1.94028
731.197	2.01838
731.222	1.92852
731.247	1.89454
731.272	1.87835
731.297	1.90815
731.322	1.89037
731.347	1.93327
731.372	1.93349
731.397	1.90671
731.422	1.98084
731.447	1.89992
731.472	1.9191
731.497	1.94256
731.522	1.95086
731.547	1.96314
731.572	1.93838
731.597	1.95778
731.622	1.90702
731.647	1.95525
731.672	1.95559
731.697	1.97457
731.722	1.87988
731.747	1.90346
731.772	1.95613
731.797	1.85265
731.822	1.94771
731.847	1.96551
731.872	1.9172
731.897	1.92236
731.922	1.90382
731.947	1.92118
731.972	1.92284
731.997	1.91792
732.023	1.91707
732.048	1.93187
732.073	1.93231
732.098	1.99783
732.123	1.93059
732.148	1.95355
732.173	1.92674
732.198	1.92718
732.223	1.89456
732.248	1.89938
732.273	1.91114
732.298	1.9537
732.323	1.98131
732.348	1.89626
732.373	1.93424
732.398	1.91055
732.423	1.94448
732.448	1.98554
732.473	1.94071
732.498	1.95355
732.523	1.9995
732.548	1.97045
732.573	1.93478
732.598	1.96322
732.623	1.9345
732.648	1.97282
732.673	1.97655
732.698	1.92096
732.723	1.96811
732.748	1.96022
732.773	1.98098
732.798	1.99048
732.823	1.98076
732.848	1.95824
732.873	1.99624
732.898	1.94295
732.923	1.93044
732.948	1.87511
732.973	1.96978
732.998	1.94815
733.023	1.98565
733.048	1.9155
733.073	1.95614
733.098	1.99059
733.123	1.94652
733.148	1.99062
733.173	1.96257
733.198	1.97923
733.224	1.99901
733.249	2.01068
733.274	1.98581
733.299	1.95956
733.324	1.97119
733.349	2.00498
733.374	1.95619
733.399	1.98244
733.424	1.97716
733.449	1.98659
733.474	1.96037
733.499	1.93606
733.524	2.0082
733.549	2.02247
733.574	1.94075
733.599	2.00655
733.624	2.02895
733.649	2.0153
733.674	1.9859
733.699	1.97107
733.724	2.00279
733.749	2.00877
733.774	2.0052
733.799	1.9979
733.824	1.97182
733.849	2.01796
733.874	2.0204
733.899	2.01329
733.924	2.01159
733.949	2.05963
733.974	1.99152
733.999	2.04969
734.024	1.99023
734.049	2.04652
734.074	2.05126
734.099	2.00647
734.124	2.0661
734.149	2.03135
734.174	1.99197
734.199	2.00808
734.224	2.0543
734.249	2.04902
734.274	1.99061
734.299	2.01919
734.324	2.03049
734.349	2.01018
734.374	2.09716
734.399	2.03446
734.425	2.02662
734.45	2.06523
734.475	2.01958
734.5	2.06179
734.525	1.98256
734.55	2.02002
734.575	2.06613
734.6	2.0828
734.625	2.01353
734.65	2.01108
734.675	2.05583
734.7	2.02116
734.725	2.03284
734.75	2.06823
734.775	2.02666
734.8	1.98506
734.825	2.00604
734.85	2.04642
734.875	1.99127
734.9	2.03931
734.925	2.00751
734.95	2.09953
734.975	2.11634
735	2.02069
