# V	I
0.413534	0.0330137
0.415539	0.0816637
0.417544	0.0500156
0.419549	0.0859438
0.421554	0.0638141
0.423559	0.0694378
0.425564	0.0596112
0.427569	0.0110371
0.429574	0.0417041
0.431579	0.0622255
0.433584	0.0723343
0.435589	0.0295464
0.437594	0.0645682
0.439599	0.0434954
0.441604	0.0709336
0.443609	0.0661538
0.445614	0.0817125
0.447619	0.0884796
0.449624	0.0766236
0.451629	0.0849524
0.453634	0.0610384
0.455639	0.124808
0.457644	0.0442703
0.459649	0.0583923
0.461654	0.0872753
0.463659	0.0846033
0.465664	0.0795974
0.467669	0.0836568
0.469674	0.02878
0.471679	0.102538
0.473684	0.0669748
0.475689	0.0962713
0.477694	0.0309836
0.479699	0.0770863
0.481704	0.0609856
0.483709	0.0839988
0.485714	0.0791986
0.487719	0.0804789
0.489724	0.0522798
0.491729	0.07262
0.493734	0.0704568
0.495739	0.0842671
0.497744	0.0944476
0.499749	0.0779719
0.501754	0.0497397
0.503759	0.0777155
0.505764	0.128086
0.507769	0.109086
0.509774	0.0169782
0.511779	0.0780338
0.513784	0.0957101
0.515789	0.0737219
0.517794	0.0684674
0.519799	0.0726306
0.521805	0.0893145
0.52381	0.055602
0.525815	0.102646
0.52782	0.0780531
0.529825	0.0607732
0.53183	0.102261
0.533835	0.0491726
0.53584	0.0692717
0.537845	0.0692432
0.53985	0.123856
0.541855	0.0675778
0.54386	0.0384796
0.545865	0.0702434
0.54787	0.0912915
0.549875	0.0981629
0.55188	0.128313
0.553885	0.111221
0.55589	0.0871419
0.557895	0.0658559
0.5599	0.116466
0.561905	0.0769144
0.56391	0.0714233
0.565915	0.0765457
0.56792	0.0601422
0.569925	0.0761883
0.57193	0.0811273
0.573935	0.100703
0.57594	0.0786292
0.577945	0.0613425
0.57995	0.054917
0.581955	0.0914846
0.58396	0.0890465
0.585965	0.0768085
0.58797	0.0788464
0.589975	0.096266
0.59198	0.116608
0.593985	0.0734949
0.59599	0.0911766
0.597995	0.108865
0.6	0.0744777
0.6	0.0896874
0.597995	0.0889393
0.59599	0.0631726
0.593985	0.0924677
0.59198	0.0894279
0.589975	0.0995979
0.58797	0.0644578
0.585965	0.0880941
0.58396	0.115229
0.581955	0.128843
0.57995	0.112595
0.577945	0.0631503
0.57594	0.095412
0.573935	0.0764273
0.57193	0.0914675
0.569925	0.0700444
0.56792	0.0509185
0.565915	0.0779969
0.56391	0.0990385
0.561905	0.0900457
0.5599	0.0920439
0.557895	0.0880112
0.55589	0.091474
0.553885	0.0936729
0.55188	0.0772883
0.549875	0.084139
0.54787	0.117046
0.545865	0.0847203
0.54386	0.0824302
0.541855	0.0833359
0.53985	0.0766193
0.537845	0.0719696
0.53584	0.0845495
0.533835	0.0699609
0.53183	0.0768641
0.529825	0.0636634
0.52782	0.0813332
0.525815	0.0905561
0.52381	0.0743331
0.521805	0.0381031
0.519799	0.0897774
0.517794	0.0800728
0.515789	0.0575038
0.513784	0.0925331
0.511779	0.0487984
0.509774	0.0973743
0.507769	0.0750181
0.505764	0.0304874
0.503759	0.0791305
0.501754	0.0671393
0.499749	0.0638254
0.497744	0.0599071
0.495739	0.0718166
0.493734	0.0643564
0.491729	0.0366256
0.489724	0.0989
0.487719	0.0682707
0.485714	0.0582184
0.483709	0.0499879
0.481704	0.0876703
0.479699	0.0459862
0.477694	0.0743339
0.475689	0.0596804
0.473684	0.0605442
0.471679	0.0486807
0.469674	0.0580447
0.467669	0.0703266
0.465664	0.0745559
0.463659	0.053837
0.461654	0.0674294
0.459649	0.0867165
0.457644	0.035394
0.455639	0.0682205
0.453634	0.0490294
0.451629	0.0466907
0.449624	0.0726638
0.447619	0.0562378
0.445614	0.042506
0.443609	0.093027
0.441604	0.0846424
0.439599	0.0272937
0.437594	0.0361505
0.435589	0.0772075
0.433584	0.0593401
0.431579	0.0947483
0.429574	0.0767628
0.427569	0.0701246
0.425564	0.0433973
0.423559	0.0733626
0.421554	0.0377178
0.419549	0.0890372
0.417544	0.0710744
0.415539	0.0458342
0.413534	0.0781236
0.411529	0.10656
0.409524	0.0570762
0.407519	0.0721361
0.405514	0.0521905
0.403509	0.0622334
0.401504	0.0300809
0.399499	0.0599142
0.397494	0.0604956
0.395489	0.0953033
0.393484	0.0231225
0.391479	0.0531041
0.389474	0.0841834
0.387469	0.0532848
0.385464	0.0543927
0.383459	0.0408535
0.381454	0.0385658
0.379449	0.0204
0.377444	0.044032
0.375439	0.0365284
0.373434	0.0583754
0.371429	0.0399603
0.369424	0.0458209
0.367419	0.0460676
0.365414	0.0538472
0.363409	0.0439388
0.361404	0.0329721
0.359398	0.0556215
0.357393	0.0749539
0.355388	0.0558713
0.353383	0.0408027
0.351378	0.0502328
0.349373	0.0113788
0.347368	0.0492982
0.345363	0.0437725
0.343358	0.0328022
0.341353	0.036119
0.339348	0.0426432
0.337343	0.0703806
0.335338	0.0720519
0.333333	0.0313222
0.331328	0.0391905
0.329323	0.0393593
0.327318	0.065051
0.325313	0.0514066
0.323308	0.0499732
0.321303	0.0584448
0.319298	0.0353704
0.317293	0.0741276
0.315288	0.0463324
0.313283	0.0287257
0.311278	0.0406789
0.309273	0.0692796
0.307268	0.0354376
0.305263	0.0621483
0.303258	0.0297688
0.301253	0.0259656
0.299248	0.0533385
0.297243	0.0213763
0.295238	0.0538311
0.293233	0.0427235
0.291228	0.0162824
0.289223	0.0301043
0.287218	0.0180105
0.285213	0.0330464
0.283208	0.0604809
0.281203	0.0114907
0.279198	0.0252212
0.277193	0.0100709
0.275188	0.00442448
0.273183	-0.00575022
0.271178	-0.0268147
0.269173	-0.011099
0.267168	-0.0327155
0.265163	-0.0552703
0.263158	-0.028313
0.261153	-0.0593221
0.259148	-0.0799494
0.257143	-0.0641454
0.255138	-0.144793
0.253133	-0.101395
0.251128	-0.164973
0.249123	-0.165468
0.247118	-0.205668
0.245113	-0.238509
0.243108	-0.221886
0.241103	-0.241155
0.239098	-0.314827
0.237093	-0.337812
0.235088	-0.379464
0.233083	-0.383983
0.231078	-0.500673
0.229073	-0.492407
0.227068	-0.55762
0.225063	-0.634757
0.223058	-0.640654
0.221053	-0.643322
0.219048	-0.741041
0.217043	-0.760278
0.215038	-0.800545
0.213033	-0.873147
0.211028	-0.918488
0.209023	-1.00252
0.207018	-1.02877
0.205013	-1.04116
0.203008	-1.10118
0.201003	-1.13605
0.198997	-1.17929
0.196992	-1.1739
0.194987	-1.25906
0.192982	-1.24767
0.190977	-1.3028
0.188972	-1.29341
0.186967	-1.36953
0.184962	-1.35484
0.182957	-1.37554
0.180952	-1.36956
0.178947	-1.34809
0.176942	-1.36066
0.174937	-1.33507
0.172932	-1.35977
0.170927	-1.34547
0.168922	-1.30728
0.166917	-1.28309
0.164912	-1.25713
0.162907	-1.24032
0.160902	-1.16185
0.158897	-1.15499
0.156892	-1.0787
0.154887	-1.06437
0.152882	-1.00733
0.150877	-0.963435
0.148872	-0.944334
0.146867	-0.873076
0.144862	-0.794071
0.142857	-0.779787
0.140852	-0.719242
0.138847	-0.676401
0.136842	-0.637933
0.134837	-0.595198
0.132832	-0.54409
0.130827	-0.497319
0.128822	-0.498774
0.126817	-0.427658
0.124812	-0.398992
0.122807	-0.367757
0.120802	-0.300589
0.118797	-0.30975
0.116792	-0.293569
0.114787	-0.222344
0.112782	-0.241224
0.110777	-0.227864
0.108772	-0.149504
0.106767	-0.144667
0.104762	-0.120294
0.102757	-0.122154
0.100752	-0.126112
0.0987469	-0.108727
0.0967419	-0.0784169
0.0947368	-0.0876622
0.0927318	-0.0464979
0.0907268	-0.0534031
0.0887218	-0.0329671
0.0867168	-0.0269896
0.0847118	-0.016608
0.0827068	-0.0093526
0.0807018	-0.02189
0.0786967	-0.00760351
0.0766917	-0.00336938
0.0746867	-0.0539494
0.0726817	0.00985678
0.0706767	0.0018534
0.0686717	0.01174
0.0666667	-0.0239559
0.0646617	-0.00345804
0.0626566	-0.0181092
0.0606516	0.0192942
0.0586466	-0.0231766
0.0566416	-0.0132582
0.0546366	0.0162757
0.0526316	-0.00682067
0.0506266	-0.0127058
0.0486216	0.0240225
0.0466165	0.0248104
0.0446115	0.0202172
0.0426065	0.0226292
0.0406015	0.00086918
0.0385965	0.00122702
0.0365915	-0.0078474
0.0345865	0.00824549
0.0325815	-0.00590563
0.0305764	-0.00425998
0.0285714	0.0161383
0.0265664	0.0275619
0.0245614	0.0115605
0.0225564	0.0392006
0.0205514	-0.0110813
0.0185464	-0.034019
0.0165414	0.0167418
0.0145363	-0.0132808
0.0125313	-0.00361294
0.0105263	-0.0338313
0.0085213	-0.0167169
0.00651629	-0.0290754
0.00451128	-0.00801563
0.00250627	-0.0075198
0.000501253	0.00187086
-0.00150376	0.0245662
-0.00350877	0.0130098
-0.00551378	-0.0332719
-0.0075188	0.0110314
-0.00952381	0.000805717
-0.0115288	-0.00368645
-0.0135338	-0.0024845
-0.0155388	0.0017599
-0.0175439	-0.0164695
-0.0195489	-0.00657952
-0.0215539	0.0204456
-0.0235589	-0.017612
-0.0255639	-0.0244324
-0.0275689	-0.00536953
-0.0295739	-0.0270475
-0.0315789	-0.0391925
-0.033584	-0.011927
-0.035589	0.0236341
-0.037594	-0.00641119
-0.039599	-0.00236831
-0.041604	-0.0488436
-0.043609	0.00222115
-0.045614	-0.00497479
-0.047619	-0.0204412
-0.0496241	-0.0038426
-0.0516291	-0.00434193
-0.0536341	-0.0292349
-0.0556391	-0.00170879
-0.0576441	0.0152961
-0.0596491	-0.0135062
-0.0616541	-0.0266
-0.0636591	-0.0131005
-0.0656642	0.00724264
-0.0676692	-0.0346768
-0.0696742	0.00112004
-0.0716792	-0.0243122
-0.0736842	-0.00621137
-0.0756892	-0.02264
-0.0776942	-0.0229945
-0.0796992	0.018507
-0.0817043	-0.0404374
-0.0837093	-0.00284907
-0.0857143	0.0217693
-0.0877193	0.000552544
-0.0897243	-0.0400806
-0.0917293	-0.039391
-0.0937343	-0.0290927
-0.0957393	-0.0112027
-0.0977444	-0.0101428
-0.0997494	-0.0403963
-0.101754	-0.0327183
-0.103759	-0.0317936
-0.105764	-0.0194796
-0.107769	0.0235285
-0.109774	-0.0351299
-0.111779	-0.0363061
-0.113784	-0.0397305
-0.115789	-0.00465753
-0.117794	-0.018496
-0.119799	-0.0358945
-0.121805	-0.0255266
-0.12381	-0.0344016
-0.125815	-0.0129544
-0.12782	0.0345146
-0.129825	-0.0084564
-0.13183	-0.0216342
-0.133835	-0.0333747
-0.13584	-0.0472439
-0.137845	-0.0060029
-0.13985	-0.00739036
-0.141855	-0.0306002
-0.14386	0.00268773
-0.145865	-0.0214576
-0.14787	-0.00668524
-0.149875	-0.0165573
-0.15188	-0.0263247
-0.153885	-0.0421804
-0.15589	-0.0262942
-0.157895	-0.0068432
-0.1599	-0.0341477
-0.161905	-0.0154909
-0.16391	-0.0462412
-0.165915	-0.00928605
-0.16792	-0.0189291
-0.169925	-0.0495309
-0.17193	-0.0302698
-0.173935	-0.00746141
-0.17594	-0.0515716
-0.177945	-0.0481107
-0.17995	-0.0283824
-0.181955	0.0153734
-0.18396	-0.0410455
-0.185965	-0.0179893
-0.18797	-0.0229928
-0.189975	-0.0402866
-0.19198	-0.0255743
-0.193985	-0.0380544
-0.19599	-0.0365546
-0.197995	-0.0629247
-0.2	-0.0304887
