# capacity	voltage
95.5912	3.83738
95.8918	3.83819
96.1924	3.839
96.493	3.8398
96.7936	3.84061
97.0942	3.8414
97.3948	3.84219
97.6954	3.84298
97.996	3.84377
98.2966	3.84455
98.5972	3.84533
98.8978	3.8461
99.1984	3.84687
99.499	3.84763
99.7996	3.84839
100.1	3.84915
100.401	3.84991
100.701	3.85066
101.002	3.8514
101.303	3.85214
101.603	3.85288
101.904	3.85362
102.204	3.85435
102.505	3.85508
102.806	3.8558
103.106	3.85652
103.407	3.85724
103.707	3.85795
104.008	3.85866
104.309	3.85937
104.609	3.86007
104.91	3.86077
105.21	3.86147
105.511	3.86216
105.812	3.86285
106.112	3.86353
106.413	3.86422
106.713	3.86489
107.014	3.86557
107.315	3.86624
107.615	3.86691
107.916	3.86758
108.216	3.86824
108.517	3.8689
108.818	3.86955
109.118	3.8702
109.419	3.87085
109.719	3.8715
110.02	3.87214
110.321	3.87278
110.621	3.87341
110.922	3.87405
111.222	3.87468
111.523	3.8753
111.824	3.87593
112.124	3.87655
112.425	3.87716
112.725	3.87778
113.026	3.87839
113.327	3.87899
113.627	3.8796
113.928	3.8802
114.228	3.8808
114.529	3.8814
114.83	3.88199
115.13	3.88258
115.431	3.88316
115.731	3.88375
116.032	3.88433
116.333	3.88491
116.633	3.88548
116.934	3.88606
117.234	3.88662
117.535	3.88719
117.836	3.88776
118.136	3.88832
118.437	3.88887
118.737	3.88943
119.038	3.88998
119.339	3.89053
119.639	3.89108
119.94	3.89162
120.24	3.89216
120.541	3.8927
120.842	3.89324
121.142	3.89377
121.443	3.8943
121.743	3.89483
122.044	3.89536
122.345	3.89588
122.645	3.8964
122.946	3.89692
123.246	3.89743
123.547	3.89795
123.848	3.89846
124.148	3.89896
124.449	3.89947
124.749	3.89997
125.05	3.90047
125.351	3.90097
125.651	3.90146
125.952	3.90196
126.253	3.90245
126.553	3.90293
126.854	3.90342
127.154	3.9039
127.455	3.90438
127.756	3.90486
128.056	3.90534
128.357	3.90581
128.657	3.90628
128.958	3.90675
129.259	3.90721
129.559	3.90768
129.86	3.90814
130.16	3.9086
130.461	3.90905
130.762	3.90951
131.062	3.90996
131.363	3.91041
131.663	3.91086
131.964	3.9113
132.265	3.91175
132.565	3.91219
132.866	3.91263
133.166	3.91306
133.467	3.9135
133.768	3.91393
134.068	3.91436
134.369	3.91479
134.669	3.91521
134.97	3.91564
135.271	3.91606
135.571	3.91648
135.872	3.9169
136.172	3.91731
136.473	3.91773
136.774	3.91814
137.074	3.91855
137.375	3.91895
137.675	3.91936
137.976	3.91976
138.277	3.92016
138.577	3.92056
138.878	3.92096
139.178	3.92135
139.479	3.92175
139.78	3.92214
140.08	3.92253
140.381	3.92291
140.681	3.9233
140.982	3.92368
141.283	3.92406
141.583	3.92444
141.884	3.92482
142.184	3.9252
142.485	3.92557
142.786	3.92594
143.086	3.92631
143.387	3.92668
143.687	3.92705
143.988	3.92741
144.289	3.92777
144.589	3.92813
144.89	3.92849
145.19	3.92885
145.491	3.92921
145.792	3.92956
146.092	3.92991
146.393	3.93026
146.693	3.93061
146.994	3.93096
147.295	3.9313
147.595	3.93165
147.896	3.93199
148.196	3.93233
148.497	3.93267
148.798	3.933
149.098	3.93334
149.399	3.93367
149.699	3.934
150	3.93433
150	3.9
149.699	3.8965
149.399	3.89302
149.098	3.88956
148.798	3.88611
148.497	3.88268
148.196	3.87927
147.896	3.87588
147.595	3.8725
147.295	3.86914
146.994	3.86579
146.693	3.86247
146.393	3.85916
146.092	3.85586
145.792	3.85258
145.491	3.84932
145.19	3.84608
144.89	3.84285
144.589	3.83964
144.289	3.83644
143.988	3.83326
143.687	3.83009
143.387	3.82695
143.086	3.82381
142.786	3.8207
142.485	3.81759
142.184	3.81451
141.884	3.81144
141.583	3.80838
141.283	3.80534
140.982	3.80231
140.681	3.7993
140.381	3.79631
140.08	3.79333
139.78	3.79036
139.479	3.78741
139.178	3.78448
138.878	3.78156
138.577	3.77865
138.277	3.77576
137.976	3.77288
137.675	3.77002
137.375	3.76717
137.074	3.76434
136.774	3.76152
136.473	3.75871
136.172	3.75592
135.872	3.75314
135.571	3.75037
135.271	3.74762
134.97	3.74489
134.669	3.74216
134.369	3.73945
134.068	3.73676
133.768	3.73408
133.467	3.73141
133.166	3.72875
132.866	3.72611
132.565	3.72348
132.265	3.72086
131.964	3.71826
131.663	3.71567
131.363	3.71309
131.062	3.71053
130.762	3.70798
130.461	3.70544
130.16	3.70291
129.86	3.7004
129.559	3.6979
129.259	3.69541
128.958	3.69294
128.657	3.69047
128.357	3.68802
128.056	3.68558
127.756	3.68316
127.455	3.68074
127.154	3.67834
126.854	3.67595
126.553	3.67357
126.253	3.6712
125.952	3.66885
125.651	3.6665
125.351	3.66417
125.05	3.66185
124.749	3.65955
124.449	3.65725
124.148	3.65496
123.848	3.65269
123.547	3.65043
123.246	3.64818
122.946	3.64594
122.645	3.64371
122.345	3.64149
122.044	3.63929
121.743	3.63709
121.443	3.63491
121.142	3.63273
120.842	3.63057
120.541	3.62842
120.24	3.62628
119.94	3.62415
119.639	3.62203
119.339	3.61992
119.038	3.61782
118.737	3.61573
118.437	3.61365
118.136	3.61159
117.836	3.60953
117.535	3.60748
117.234	3.60545
116.934	3.60342
116.633	3.6014
116.333	3.5994
116.032	3.5974
115.731	3.59542
115.431	3.59344
115.13	3.59147
114.83	3.58952
114.529	3.58757
114.228	3.58563
113.928	3.58371
113.627	3.58179
113.327	3.57988
113.026	3.57798
112.725	3.57609
112.425	3.57421
112.124	3.57234
111.824	3.57048
111.523	3.56863
111.222	3.56679
110.922	3.56496
110.621	3.56313
110.321	3.56132
110.02	3.55951
109.719	3.55772
109.419	3.55593
109.118	3.55415
108.818	3.55238
108.517	3.55062
108.216	3.54887
107.916	3.54712
107.615	3.54539
107.315	3.54366
107.014	3.54194
106.713	3.54024
106.413	3.53853
106.112	3.53684
105.812	3.53516
105.511	3.53348
105.21	3.53182
104.91	3.53016
104.609	3.52851
104.309	3.52687
104.008	3.52523
103.707	3.52361
103.407	3.52199
103.106	3.52038
102.806	3.51878
102.505	3.51719
102.204	3.5156
101.904	3.51403
101.603	3.51246
101.303	3.5109
101.002	3.50934
100.701	3.5078
100.401	3.50626
100.1	3.50473
99.7996	3.5032
99.499	3.50169
99.1984	3.50018
98.8978	3.49868
98.5972	3.49719
98.2966	3.4957
97.996	3.49423
97.6954	3.49276
97.3948	3.49129
97.0942	3.48984
96.7936	3.48839
96.493	3.48695
96.1924	3.48551
95.8918	3.48409
95.5912	3.48267
95.2906	3.48125
94.99	3.47985
94.6894	3.47845
94.3888	3.47706
94.0882	3.47567
93.7876	3.4743
93.487	3.47292
93.1864	3.47156
92.8858	3.4702
92.5852	3.46885
92.2846	3.46751
91.984	3.46617
91.6834	3.46484
91.3828	3.46352
91.0822	3.4622
90.7816	3.46089
90.481	3.45959
90.1804	3.45829
89.8798	3.457
89.5792	3.45572
89.2786	3.45444
88.978	3.45317
88.6774	3.4519
88.3768	3.45064
88.0762	3.44939
87.7756	3.44814
87.4749	3.4469
87.1743	3.44567
86.8737	3.44444
86.5731	3.44322
86.2725	3.442
85.9719	3.4408
85.6713	3.43959
85.3707	3.43839
85.0701	3.4372
84.7695	3.43602
84.4689	3.43484
84.1683	3.43366
83.8677	3.4325
83.5671	3.43133
83.2665	3.43018
82.9659	3.42903
82.6653	3.42788
82.3647	3.42674
82.0641	3.42561
81.7635	3.42448
81.4629	3.42336
81.1623	3.42225
80.8617	3.42114
80.5611	3.42003
80.2605	3.41893
79.9599	3.41784
79.6593	3.41675
79.3587	3.41566
79.0581	3.41459
78.7575	3.41351
78.4569	3.41245
78.1563	3.41139
77.8557	3.41033
77.5551	3.40928
77.2545	3.40823
76.9539	3.40719
76.6533	3.40616
76.3527	3.40513
76.0521	3.4041
75.7515	3.40308
75.4509	3.40207
75.1503	3.40106
74.8497	3.40005
74.5491	3.39905
74.2485	3.39806
73.9479	3.39707
73.6473	3.39608
73.3467	3.3951
73.0461	3.39413
72.7455	3.39316
72.4449	3.39219
72.1443	3.39123
71.8437	3.39028
71.5431	3.38932
71.2425	3.38838
70.9419	3.38744
70.6413	3.3865
70.3407	3.38557
70.0401	3.38464
69.7395	3.38372
69.4389	3.3828
69.1383	3.38189
68.8377	3.38098
68.5371	3.38007
68.2365	3.37917
67.9359	3.37828
67.6353	3.37739
67.3347	3.3765
67.0341	3.37562
66.7335	3.37474
66.4329	3.37387
66.1323	3.373
65.8317	3.37213
65.5311	3.37127
65.2305	3.37042
64.9299	3.36957
64.6293	3.36872
64.3287	3.36788
64.0281	3.36704
63.7275	3.3662
63.4269	3.36537
63.1263	3.36455
62.8257	3.36372
62.5251	3.3629
62.2244	3.36209
61.9238	3.36128
61.6232	3.36047
61.3226	3.35967
61.022	3.35887
60.7214	3.35808
60.4208	3.35729
60.1202	3.3565
59.8196	3.35572
59.519	3.35494
59.2184	3.35417
58.9178	3.3534
58.6172	3.35263
58.3166	3.35187
58.016	3.35111
57.7154	3.35036
57.4148	3.3496
57.1142	3.34886
56.8136	3.34811
56.513	3.34737
56.2124	3.34664
55.9118	3.3459
55.6112	3.34517
55.3106	3.34445
55.01	3.34373
54.7094	3.34301
54.4088	3.34229
54.1082	3.34158
53.8076	3.34088
53.507	3.34017
53.2064	3.33947
52.9058	3.33877
52.6052	3.33808
52.3046	3.33739
52.004	3.3367
51.7034	3.33602
51.4028	3.33534
51.1022	3.33466
50.8016	3.33399
50.501	3.33332
50.2004	3.33266
49.8998	3.33199
49.5992	3.33133
49.2986	3.33068
48.998	3.33002
48.6974	3.32937
48.3968	3.32873
48.0962	3.32808
47.7956	3.32744
47.495	3.32681
47.1944	3.32617
46.8938	3.32554
46.5932	3.32491
46.2926	3.32429
45.992	3.32367
45.6914	3.32305
45.3908	3.32244
45.0902	3.32182
44.7896	3.32122
44.489	3.32061
44.1884	3.32001
43.8878	3.31941
43.5872	3.31881
43.2866	3.31822
42.986	3.31763
42.6854	3.31704
42.3848	3.31645
42.0842	3.31587
41.7836	3.31529
41.483	3.31472
41.1824	3.31414
40.8818	3.31357
40.5812	3.31301
40.2806	3.31244
39.98	3.31188
39.6794	3.31132
39.3788	3.31076
39.0782	3.31021
38.7776	3.30966
38.477	3.30911
38.1764	3.30857
37.8758	3.30802
37.5752	3.30748
37.2745	3.30695
36.9739	3.30641
36.6733	3.30588
36.3727	3.30535
36.0721	3.30482
35.7715	3.3043
35.4709	3.30378
35.1703	3.30326
34.8697	3.30274
34.5691	3.30223
34.2685	3.30172
33.9679	3.30121
33.6673	3.30071
33.3667	3.3002
33.0661	3.2997
32.7655	3.2992
32.4649	3.29871
32.1643	3.29821
31.8637	3.29772
31.5631	3.29724
31.2625	3.29675
30.9619	3.29627
30.6613	3.29578
30.3607	3.29531
30.0601	3.29483
29.7595	3.29436
29.4589	3.29388
29.1583	3.29342
28.8577	3.29295
28.5571	3.29248
28.2565	3.29202
27.9559	3.29156
27.6553	3.2911
27.3547	3.29065
27.0541	3.2902
26.7535	3.28974
26.4529	3.2893
26.1523	3.28885
25.8517	3.28841
25.5511	3.28796
25.2505	3.28752
24.9499	3.28709
24.6493	3.28665
24.3487	3.28622
24.0481	3.28579
23.7475	3.28536
23.4469	3.28493
23.1463	3.28451
22.8457	3.28409
22.5451	3.28367
22.2445	3.28325
21.9439	3.28283
21.6433	3.28242
21.3427	3.28201
21.0421	3.2816
20.7415	3.28119
20.4409	3.28078
20.1403	3.28038
19.8397	3.27998
19.5391	3.27958
19.2385	3.27918
18.9379	3.27878
18.6373	3.27839
18.3367	3.278
18.0361	3.27761
17.7355	3.27722
17.4349	3.27684
17.1343	3.27645
16.8337	3.27607
16.5331	3.27569
16.2325	3.27531
15.9319	3.27493
15.6313	3.27456
15.3307	3.27419
15.0301	3.27382
14.7295	3.27345
14.4289	3.27308
14.1283	3.27272
13.8277	3.27235
13.5271	3.27199
13.2265	3.27163
12.9259	3.27127
12.6253	3.27092
12.3246	3.27056
12.024	3.27021
11.7234	3.26986
11.4228	3.26951
11.1222	3.26916
10.8216	3.26882
10.521	3.26847
10.2204	3.26813
9.91984	3.26779
9.61924	3.26745
9.31864	3.26711
9.01804	3.26678
8.71743	3.26644
8.41683	3.26611
8.11623	3.26578
7.81563	3.26545
7.51503	3.26513
7.21443	3.2648
6.91383	3.26448
6.61323	3.26415
6.31263	3.26383
6.01202	3.26352
5.71142	3.2632
5.41082	3.26288
5.11022	3.26257
4.80962	3.26226
4.50902	3.26194
4.20842	3.26163
3.90782	3.26133
3.60721	3.26102
3.30661	3.26071
3.00601	3.26041
2.70541	3.26011
2.40481	3.25981
2.10421	3.25951
1.80361	3.25921
1.50301	3.25892
1.2024	3.25862
0.901804	3.25833
0.601202	3.25804
0.300601	3.25775
0	3.25746
