# wavelength_nm	intensity
488.889	0.0524015
489.289	0.0338242
489.69	0.0438007
490.09	0.0604996
490.49	0.0516993
490.891	0.0510798
491.291	0.0522735
491.692	0.0355699
492.092	0.049036
492.492	0.0640855
492.893	0.0608695
493.293	0.0487506
493.694	0.0656396
494.094	0.0374121
494.494	0.0402864
494.895	0.0686399
495.295	0.0557837
495.696	0.0471154
496.096	0.0494514
496.496	0.0419387
496.897	0.0527714
497.297	0.0519798
497.698	0.0502052
498.098	0.0384093
498.498	0.052655
498.899	0.0447129
499.299	0.0401489
499.7	0.0626768
500.1	0.0717073
500.501	0.0694371
500.901	0.056513
501.301	0.0473569
501.702	0.0493102
502.102	0.0540708
502.503	0.0458135
502.903	0.0632053
503.303	0.0296613
503.704	0.0470627
504.104	0.0580323
504.505	0.0415716
504.905	0.0476235
505.305	0.0559633
505.706	0.0652116
506.106	0.0370917
506.507	0.0363527
506.907	0.0405757
507.307	0.0346633
507.708	0.0353778
508.108	0.0403181
508.509	0.0623829
508.909	0.0469308
509.309	0.0503691
509.71	0.0405048
510.11	0.0563991
510.511	0.068826
510.911	0.041197
511.311	0.0673261
511.712	0.0537285
512.112	0.050259
512.513	0.054098
512.913	0.054009
513.313	0.0686821
513.714	0.0553211
514.114	0.0555383
514.515	0.0459212
514.915	0.0585364
515.315	0.0405873
515.716	0.0512566
516.116	0.0790109
516.517	0.0251484
516.917	0.0525348
517.317	0.0529334
517.718	0.047951
518.118	0.0482023
518.519	0.0511783
518.919	0.0477619
519.319	0.0525205
519.72	0.0454446
520.12	0.0705659
520.521	0.0478444
520.921	0.0560846
521.321	0.0437235
521.722	0.0597722
522.122	0.0578041
522.523	0.0546923
522.923	0.0402585
523.323	0.0430419
523.724	0.0674637
524.124	0.0430055
524.525	0.0570897
524.925	0.0412768
525.325	0.0608527
525.726	0.0439528
526.126	0.0412357
526.527	0.0437978
526.927	0.0454399
527.327	0.0550846
527.728	0.0517951
528.128	0.0402166
528.529	0.0509593
528.929	0.0398784
529.329	0.0578277
529.73	0.0597442
530.13	0.0513233
530.531	0.0543717
530.931	0.0692739
531.331	0.0502793
531.732	0.0425209
532.132	0.0578694
532.533	0.0408709
532.933	0.0502181
533.333	0.0464669
533.734	0.0455786
534.134	0.0502431
534.535	0.0618977
534.935	0.0641182
535.335	0.0624946
535.736	0.0567758
536.136	0.0510239
536.537	0.0302211
536.937	0.0576841
537.337	0.0314327
537.738	0.0352216
538.138	0.0530791
538.539	0.0575938
538.939	0.0507015
539.339	0.0708448
539.74	0.0604009
540.14	0.05359
540.541	0.0702657
540.941	0.0723873
541.341	0.0622108
541.742	0.0496978
542.142	0.0523298
542.543	0.0437646
542.943	0.0582255
543.343	0.0485858
543.744	0.0562516
544.144	0.0626248
544.545	0.0406793
544.945	0.0483984
545.345	0.0565095
545.746	0.0616183
546.146	0.0577947
546.547	0.0606436
546.947	0.0569283
547.347	0.0501646
547.748	0.0600075
548.148	0.0639488
548.549	0.0637319
548.949	0.0687401
549.349	0.0726293
549.75	0.076109
550.15	0.0638417
550.551	0.05534
550.951	0.0847709
551.351	0.076904
551.752	0.0645361
552.152	0.0779329
552.553	0.08695
552.953	0.0947183
553.353	0.0811327
553.754	0.0904682
554.154	0.0690665
554.555	0.082142
554.955	0.0805381
555.355	0.0887514
555.756	0.102927
556.156	0.0908555
556.557	0.0805759
556.957	0.0789704
557.357	0.109772
557.758	0.10022
558.158	0.101391
558.559	0.0953619
558.959	0.10343
559.359	0.0928995
559.76	0.108724
560.16	0.0952547
560.561	0.105631
560.961	0.105085
561.361	0.0813036
561.762	0.112846
562.162	0.109837
562.563	0.119311
562.963	0.1241
563.363	0.144509
563.764	0.132705
564.164	0.135911
564.565	0.140522
564.965	0.147366
565.365	0.14636
565.766	0.147893
566.166	0.155537
566.567	0.127599
566.967	0.17629
567.367	0.174925
567.768	0.164923
568.168	0.152444
568.569	0.182598
568.969	0.167576
569.369	0.183974
569.77	0.170031
570.17	0.209451
570.571	0.177197
570.971	0.196846
571.371	0.179579
571.772	0.205141
572.172	0.206161
572.573	0.226755
572.973	0.21621
573.373	0.237041
573.774	0.220717
574.174	0.233553
574.575	0.239282
574.975	0.252498
575.375	0.256981
575.776	0.266389
576.176	0.267818
576.577	0.27786
576.977	0.268481
577.377	0.287674
577.778	0.306309
578.178	0.279982
578.579	0.30834
578.979	0.317
579.379	0.33174
579.78	0.331396
580.18	0.332258
580.581	0.342786
580.981	0.338475
581.381	0.349394
581.782	0.347474
582.182	0.383365
582.583	0.380765
582.983	0.374975
583.383	0.394824
583.784	0.411779
584.184	0.418288
584.585	0.407354
584.985	0.393657
585.385	0.437407
585.786	0.433133
586.186	0.45686
586.587	0.468861
586.987	0.479298
587.387	0.494492
587.788	0.498369
588.188	0.512535
588.589	0.517934
588.989	0.527978
589.389	0.522143
589.79	0.518955
590.19	0.566025
590.591	0.551238
590.991	0.572352
591.391	0.564063
591.792	0.588747
592.192	0.564238
592.593	0.594196
592.993	0.606957
593.393	0.622231
593.794	0.638009
594.194	0.626046
594.595	0.653296
594.995	0.668676
595.395	0.689582
595.796	0.682897
596.196	0.680934
596.597	0.682495
596.997	0.723167
597.397	0.721886
597.798	0.723898
598.198	0.717489
598.599	0.733903
598.999	0.759007
599.399	0.765659
599.8	0.752025
600.2	0.787119
600.601	0.774342
601.001	0.812725
601.401	0.810348
601.802	0.812618
602.202	0.836052
602.603	0.838485
603.003	0.856895
603.403	0.853037
603.804	0.862091
604.204	0.866201
604.605	0.879908
605.005	0.90235
605.405	0.888298
605.806	0.907618
606.206	0.899999
606.607	0.895648
607.007	0.925743
607.407	0.934562
607.808	0.936779
608.208	0.929767
608.609	0.954439
609.009	0.960545
609.409	0.955292
609.81	0.95675
610.21	0.97367
610.611	0.98843
611.011	0.99157
611.411	0.983888
611.812	0.999145
612.212	1.01151
612.613	0.995554
613.013	1.01233
613.413	1.02929
613.814	1.0071
614.214	1.03513
614.615	1.04326
615.015	1.02809
615.415	1.0299
615.816	1.04642
616.216	1.03675
616.617	1.01735
617.017	1.04192
617.417	1.04938
617.818	1.0536
618.218	1.03866
618.619	1.04578
619.019	1.059
619.419	1.04913
619.82	1.03469
620.22	1.06234
620.621	1.04755
621.021	1.06008
621.421	1.03443
621.822	1.04614
622.222	1.05115
622.623	1.04364
623.023	1.03089
623.423	1.0168
623.824	1.0536
624.224	1.03831
624.625	1.0447
625.025	1.03929
625.425	1.0327
625.826	1.02
626.226	1.02436
626.627	1.02981
627.027	1.0121
627.427	1.02584
627.828	0.987168
628.228	0.981209
628.629	1.00206
629.029	0.978675
629.429	1.00177
629.83	0.988985
630.23	0.985559
630.631	0.972403
631.031	0.948025
631.431	0.934143
631.832	0.959003
632.232	0.922189
632.633	0.945996
633.033	0.929637
633.433	0.914809
633.834	0.912464
634.234	0.905017
634.635	0.890513
635.035	0.898824
635.435	0.890375
635.836	0.869781
636.236	0.853861
636.637	0.864438
637.037	0.822555
637.437	0.838513
637.838	0.83266
638.238	0.808074
638.639	0.817096
639.039	0.798009
639.439	0.783649
639.84	0.789497
640.24	0.759698
640.641	0.769873
641.041	0.731925
641.441	0.745121
641.842	0.73317
642.242	0.717762
642.643	0.717446
643.043	0.703114
643.443	0.704792
643.844	0.690162
644.244	0.679388
644.645	0.66807
645.045	0.650716
645.445	0.642707
645.846	0.638499
646.246	0.624586
646.647	0.627752
647.047	0.60791
647.447	0.601097
647.848	0.573701
648.248	0.587584
648.649	0.562802
649.049	0.54869
649.449	0.566128
649.85	0.54724
650.25	0.540687
650.651	0.526171
651.051	0.511464
651.451	0.500434
651.852	0.501924
652.252	0.496431
652.653	0.475471
653.053	0.488003
653.453	0.456509
653.854	0.43583
654.254	0.423927
654.655	0.415726
655.055	0.420017
655.455	0.413479
655.856	0.414364
656.256	0.399088
656.657	0.399742
657.057	0.383793
657.457	0.375617
657.858	0.361948
658.258	0.374296
658.659	0.33721
659.059	0.348099
659.459	0.33594
659.86	0.338355
660.26	0.323221
660.661	0.31652
661.061	0.306883
661.461	0.316711
661.862	0.296145
662.262	0.309274
662.663	0.28587
663.063	0.27705
663.463	0.269179
663.864	0.270189
664.264	0.25269
664.665	0.254174
665.065	0.247054
665.465	0.244596
665.866	0.239327
666.266	0.234442
666.667	0.22608
667.067	0.23564
667.467	0.219107
667.868	0.235982
668.268	0.205571
668.669	0.209921
669.069	0.188438
669.469	0.205179
669.87	0.179707
670.27	0.186992
670.671	0.175575
671.071	0.178628
671.471	0.16775
671.872	0.158295
672.272	0.159659
672.673	0.174076
673.073	0.159714
673.473	0.138628
673.874	0.159039
674.274	0.135831
674.675	0.14893
675.075	0.143867
675.475	0.141425
675.876	0.150807
676.276	0.121085
676.677	0.132659
677.077	0.136408
677.477	0.114719
677.878	0.111114
678.278	0.113195
678.679	0.116885
679.079	0.0971772
679.479	0.114512
679.88	0.0927013
680.28	0.117574
680.681	0.107702
681.081	0.119685
681.481	0.105295
681.882	0.0936766
682.282	0.0869155
682.683	0.0955293
683.083	0.0911345
683.483	0.101652
683.884	0.0789138
684.284	0.106872
684.685	0.0979274
685.085	0.0817121
685.485	0.100343
685.886	0.0732
686.286	0.0818008
686.687	0.0657398
687.087	0.0957746
687.487	0.0596829
687.888	0.0606423
688.288	0.0676305
688.689	0.0861716
689.089	0.0815061
689.489	0.0722247
689.89	0.0802764
690.29	0.068051
690.691	0.0725814
691.091	0.0840593
691.491	0.0642927
691.892	0.0583429
692.292	0.0699878
692.693	0.0719933
693.093	0.0650293
693.493	0.0733199
693.894	0.0606609
694.294	0.0633614
694.695	0.0652684
695.095	0.0638565
695.495	0.0765984
695.896	0.0636658
696.296	0.0564568
696.697	0.0643215
697.097	0.0686956
697.497	0.0659336
697.898	0.0649816
698.298	0.0424327
698.699	0.0321244
699.099	0.0694547
699.499	0.0607587
699.9	0.0558373
700.3	0.0626934
700.701	0.0747343
701.101	0.0693207
701.502	0.0645444
701.902	0.045804
702.302	0.046864
702.703	0.0303397
703.103	0.0603214
703.504	0.0648654
703.904	0.0654836
704.304	0.0601482
704.705	0.0516744
705.105	0.0474021
705.506	0.0446293
705.906	0.0510946
706.306	0.0428042
706.707	0.0700028
707.107	0.0392872
707.508	0.0502147
707.908	0.0327036
708.308	0.054918
708.709	0.051821
709.109	0.0481747
709.51	0.0423179
709.91	0.0515784
710.31	0.0460221
710.711	0.0500154
711.111	0.07088
711.512	0.0529533
711.912	0.0564899
712.312	0.0464501
712.713	0.0431874
713.113	0.0507425
713.514	0.075955
713.914	0.0479881
714.314	0.0544263
714.715	0.0424802
715.115	0.0231664
715.516	0.0427782
715.916	0.0744434
716.316	0.0565522
716.717	0.0669716
717.117	0.0470513
717.518	0.0269283
717.918	0.0393794
718.318	0.0544083
718.719	0.0527874
719.119	0.0502818
719.52	0.0450597
719.92	0.0597369
720.32	0.0453052
720.721	0.053377
721.121	0.0522334
721.522	0.0465775
721.922	0.041433
722.322	0.0459571
722.723	0.0689519
723.123	0.0613264
723.524	0.0603929
723.924	0.0423122
724.324	0.0357886
724.725	0.0611197
725.125	0.0591923
725.526	0.0515077
725.926	0.046421
726.326	0.0354786
726.727	0.0587843
727.127	0.0619643
727.528	0.0433052
727.928	0.0424637
728.328	0.0624943
728.729	0.0436595
729.129	0.0678634
729.53	0.0489774
729.93	0.0461977
730.33	0.0505101
730.731	0.0461886
731.131	0.0613133
731.532	0.0589058
731.932	0.0609254
732.332	0.0518865
732.733	0.0454749
733.133	0.0499451
733.534	0.0457763
733.934	0.0646969
734.334	0.0600515
734.735	0.0491115
735.135	0.04076
735.536	0.0654314
735.936	0.0513882
736.336	0.0487182
736.737	0.0655149
737.137	0.0449176
737.538	0.0468266
737.938	0.0477071
738.338	0.0368479
738.739	0.05317
739.139	0.0423883
739.54	0.0443036
739.94	0.0429657
740.34	0.0441386
740.741	0.0416195
741.141	0.0524801
741.542	0.0484514
741.942	0.0504869
742.342	0.0735442
742.743	0.0484502
743.143	0.0560549
743.544	0.0571925
743.944	0.049376
744.344	0.0527422
744.745	0.0502109
745.145	0.0520292
745.546	0.0441382
745.946	0.045061
746.346	0.0501721
746.747	0.0302836
747.147	0.0649631
747.548	0.0716108
747.948	0.0517056
748.348	0.0566566
748.749	0.0608123
749.149	0.0367549
749.55	0.0592843
749.95	0.045737
750.35	0.0729085
750.751	0.0481186
751.151	0.0590829
751.552	0.0482168
751.952	0.0719678
752.352	0.0448773
752.753	0.0616516
753.153	0.0562675
753.554	0.0540437
753.954	0.0522907
754.354	0.0433304
754.755	0.0241399
755.155	0.0607444
755.556	0.045112
755.956	0.0616964
756.356	0.0535173
756.757	0.0620029
757.157	0.0580192
757.558	0.0253533
757.958	0.0561492
758.358	0.0465635
758.759	0.0616503
759.159	0.0559123
759.56	0.0560299
759.96	0.0472777
760.36	0.0408741
760.761	0.0456713
761.161	0.0320012
761.562	0.0440967
761.962	0.0353585
762.362	0.0356227
762.763	0.0511649
763.163	0.0553406
763.564	0.0496821
763.964	0.0450122
764.364	0.040526
764.765	0.0468281
765.165	0.0417778
765.566	0.0493717
765.966	0.0347847
766.366	0.0570132
766.767	0.0443297
767.167	0.0537626
767.568	0.0588722
767.968	0.0532787
768.368	0.0579913
768.769	0.0293336
769.169	0.0450715
769.57	0.0610308
769.97	0.0550923
770.37	0.0684846
770.771	0.0670438
771.171	0.0529959
771.572	0.0474802
771.972	0.0404156
772.372	0.0452419
772.773	0.0459175
773.173	0.0440675
773.574	0.0408166
773.974	0.0540158
774.374	0.0669664
774.775	0.0593326
775.175	0.0467758
775.576	0.0601403
775.976	0.0534665
776.376	0.049593
776.777	0.0489688
777.177	0.0480006
777.578	0.0565107
777.978	0.0513967
778.378	0.0427158
778.779	0.0422315
779.179	0.053059
779.58	0.0542865
779.98	0.0468687
780.38	0.0386799
780.781	0.0625097
781.181	0.060386
781.582	0.0301262
781.982	0.0633958
782.382	0.0479102
782.783	0.0518999
783.183	0.0613822
783.584	0.0665254
783.984	0.0600287
784.384	0.0524103
784.785	0.0362436
785.185	0.0297377
785.586	0.0587816
785.986	0.0634203
786.386	0.0418536
786.787	0.0473022
787.187	0.0444273
787.588	0.044161
787.988	0.0607496
788.388	0.0521837
788.789	0.0477082
789.189	0.0765752
789.59	0.0356558
789.99	0.0554791
790.39	0.0395102
790.791	0.0484256
791.191	0.0514864
791.592	0.058446
791.992	0.0473882
792.392	0.0463305
792.793	0.0472091
793.193	0.0392005
793.594	0.0563231
793.994	0.0528133
794.394	0.0543517
794.795	0.0493046
795.195	0.0480712
795.596	0.061756
795.996	0.0602179
796.396	0.064148
796.797	0.0537259
797.197	0.0635266
797.598	0.0458392
797.998	0.0479915
798.398	0.061951
798.799	0.0584342
799.199	0.0470955
799.6	0.0395374
800	0.0479604
