# 2theta	I_obs	I_calc	I_bkg
39.7748	0.0633988	0.0648874	0.0648874
39.8332	0.0684873	0.0649166	0.0649166
39.8916	0.0482812	0.0649458	0.0649458
39.95	0.054615	0.064975	0.064975
40.0083	0.0917331	0.0650042	0.0650042
40.0667	0.0630503	0.0650334	0.0650334
40.1251	0.0524992	0.0650626	0.0650626
40.1835	0.0583111	0.0650917	0.0650917
40.2419	0.0812133	0.0651209	0.0651209
40.3003	0.0355117	0.0651501	0.0651501
40.3586	0.0689991	0.0651793	0.0651793
40.417	0.102142	0.0652085	0.0652085
40.4754	0.0957036	0.0652377	0.0652377
40.5338	0.0738649	0.0652669	0.0652669
40.5922	0.0850427	0.0652961	0.0652961
40.6505	0.0849277	0.0653253	0.0653253
40.7089	0.0634667	0.0653545	0.0653545
40.7673	0.0792556	0.0653837	0.0653837
40.8257	0.0922416	0.0654128	0.0654128
40.8841	0.0464856	0.065442	0.065442
40.9425	0.074121	0.0654712	0.0654712
41.0008	0.0709225	0.0655004	0.0655004
41.0592	0.0670771	0.0655296	0.0655296
41.1176	0.0657783	0.0655588	0.0655588
41.176	0.069063	0.065588	0.065588
41.2344	0.0703508	0.0656172	0.0656172
41.2927	0.0824256	0.0656464	0.0656464
41.3511	0.0728233	0.0656756	0.0656756
41.4095	0.0630366	0.0657048	0.0657048
41.4679	0.0531351	0.0657339	0.0657339
41.5263	0.0586765	0.0657631	0.0657631
41.5847	0.0697098	0.0657923	0.0657923
41.643	0.0552305	0.0658215	0.0658215
41.7014	0.0800389	0.0658507	0.0658507
41.7598	0.0723307	0.0658799	0.0658799
41.8182	0.083062	0.0659091	0.0659091
41.8766	0.056356	0.0659383	0.0659383
41.9349	0.0535015	0.0659675	0.0659675
41.9933	0.0830375	0.0659967	0.0659967
42.0517	0.0679752	0.0660259	0.0660259
42.1101	0.0630173	0.066055	0.066055
42.1685	0.0765641	0.0660842	0.0660842
42.2269	0.0760352	0.0661134	0.0661134
42.2852	0.0473062	0.0661426	0.0661426
42.3436	0.0869415	0.0661718	0.0661718
42.402	0.0600449	0.066201	0.066201
42.4604	0.0917305	0.0662302	0.0662302
42.5188	0.0462562	0.0662594	0.0662594
42.5771	0.0710496	0.0662886	0.0662886
42.6355	0.0635334	0.0663178	0.0663178
42.6939	0.0367184	0.066347	0.066347
42.7523	0.0762493	0.0663761	0.0663761
42.8107	0.0375463	0.0664053	0.0664053
42.8691	0.0620595	0.0664345	0.0664345
42.9274	0.0830279	0.0664637	0.0664637
42.9858	0.0585424	0.0664929	0.0664929
43.0442	0.0529661	0.0665221	0.0665221
43.1026	0.0785566	0.0665513	0.0665513
43.161	0.0628377	0.0665805	0.0665805
43.2193	0.0605338	0.0666097	0.0666097
43.2777	0.0857638	0.0666389	0.0666389
43.3361	0.0491589	0.0666681	0.0666681
43.3945	0.0598031	0.0666972	0.0666972
43.4529	0.0797231	0.0667264	0.0667264
43.5113	0.0482764	0.0667556	0.0667556
43.5696	0.093415	0.0667848	0.0667848
43.628	0.0635613	0.066814	0.066814
43.6864	0.0799611	0.0668432	0.0668432
43.7448	0.0799589	0.0668724	0.0668724
43.8032	0.0646173	0.0669016	0.0669016
43.8616	0.0597456	0.0669308	0.0669308
43.9199	0.0663155	0.06696	0.06696
43.9783	0.0776794	0.0669892	0.0669892
44.0367	0.052222	0.0670183	0.0670183
44.0951	0.0489987	0.0670475	0.0670475
44.1535	0.0893398	0.0670767	0.0670767
44.2118	0.0560831	0.0671059	0.0671059
44.2702	0.0724464	0.0671351	0.0671351
44.3286	0.0641312	0.0671643	0.0671643
44.387	0.0648255	0.0671935	0.0671935
44.4454	0.0886785	0.0672227	0.0672227
44.5038	0.0659743	0.0672519	0.0672519
44.5621	0.0619287	0.0672811	0.0672811
44.6205	0.0632645	0.0673103	0.0673103
44.6789	0.0597876	0.0673394	0.0673394
44.7373	0.0573173	0.0673686	0.0673686
44.7957	0.0599061	0.0673978	0.0673978
44.854	0.0923752	0.067427	0.067427
44.9124	0.0781285	0.0674562	0.0674562
44.9708	0.0623075	0.0674854	0.0674854
45.0292	0.0822394	0.0675146	0.0675146
45.0876	0.0437359	0.0675438	0.0675438
45.146	0.0882082	0.067573	0.067573
45.2043	0.0870295	0.0676022	0.0676022
45.2627	0.101176	0.0676314	0.0676314
45.3211	0.0828338	0.0676606	0.0676606
45.3795	0.0742483	0.0676897	0.0676897
45.4379	0.087086	0.0677189	0.0677189
45.4962	0.058361	0.0677481	0.0677481
45.5546	0.0618461	0.0677773	0.0677773
45.613	0.0668429	0.0678066	0.0678065
45.6714	0.0883691	0.0678359	0.0678357
45.7298	0.0550273	0.0678655	0.0678649
45.7882	0.0534648	0.0678958	0.0678941
45.8465	0.0714757	0.0679277	0.0679233
45.9049	0.0787265	0.0679635	0.0679525
45.9633	0.0574623	0.0680085	0.0679817
46.0217	0.0781299	0.0680736	0.0680108
46.0801	0.0887072	0.0681812	0.06804
