# T_C	heatflow_mW/mg
592.428	-0.0072737
593.398	-0.0132359
594.368	-0.0163142
595.338	-0.0231616
596.308	0.0164461
597.278	0.0240315
598.248	-0.005084
599.218	-0.000346367
600.188	-0.0225212
601.158	0.00142502
602.128	0.00460319
603.098	-0.00438465
604.068	0.00792431
605.038	0.00617656
606.008	-0.0210808
606.977	0.0238627
607.947	-0.00415149
608.917	0.0335126
609.887	0.00840943
610.857	0.0394195
611.827	0.0235061
612.797	0.0045444
613.767	-0.0144616
614.737	-0.0140309
615.707	0.010661
616.677	0.00286282
617.647	-0.0117803
618.617	0.0166614
619.587	0.000775599
620.557	0.0167803
621.527	-0.0195093
622.497	0.0199895
623.467	0.01002
624.437	0.0239515
625.407	0.0195487
626.377	-0.00169902
627.347	-0.00330745
628.317	0.0356607
629.287	-0.00581134
630.257	0.0149687
631.227	-0.00762772
632.196	-0.0372376
633.166	-0.0245468
634.136	0.00811843
635.106	0.0140226
636.076	0.00818427
637.046	0.022919
638.016	0.00782521
638.986	-0.0155047
639.956	0.011886
640.926	0.00339216
641.896	-0.0115112
642.866	0.00945039
643.836	0.0015874
644.806	-0.0121
645.776	-0.00355731
646.746	0.0282713
647.716	0.0276178
648.686	0.00376288
649.656	0.00114534
650.626	-0.0286609
651.596	0.0343873
652.566	0.0207268
653.536	0.015039
654.506	-0.0454946
655.476	0.000818453
656.446	-0.00254257
657.416	0.0136563
658.385	-0.00902062
659.355	-0.0046342
660.325	0.0123883
661.295	-0.0154716
662.265	-0.0114809
663.235	0.00386653
664.205	0.0267697
665.175	0.0161694
666.145	0.0215081
667.115	0.00126634
668.085	0.0299016
669.055	-0.0348236
670.025	0.0404448
670.995	0.0430352
671.965	0.00913233
672.935	0.0166453
673.905	-0.000759997
674.875	-0.00419137
675.845	-0.0122174
676.815	-0.00098024
677.785	0.0111187
678.755	0.00839768
679.725	0.0397321
680.695	0.00200549
681.665	-0.0297766
682.635	0.0328862
683.605	-0.0244191
684.574	-0.0111878
685.544	0.00543486
686.514	0.0083435
687.484	-0.0289088
688.454	-0.0149294
689.424	-0.0296156
690.394	0.0124343
691.364	0.0236676
692.334	-0.0244368
693.304	0.0199132
694.274	0.0186156
695.244	-0.0131814
696.214	-0.0396516
697.184	-0.0214251
698.154	-0.0119052
699.124	0.0308334
700.094	-0.00236605
701.064	-0.0201366
702.034	0.00295697
703.004	-0.025907
703.974	0.0102868
704.944	-0.0195533
705.914	-0.0166505
706.884	0.00750984
707.854	0.0350047
708.824	0.0439558
709.793	-0.0207973
710.763	-0.0119321
711.733	0.0103106
712.703	0.0233758
713.673	-0.0432817
714.643	0.00174674
715.613	-0.00974286
716.583	-0.0384804
717.553	-0.0267434
718.523	-0.0113555
719.493	0.0011763
720.463	0.0201621
721.433	0.00708696
722.403	0.0189508
723.373	0.000534487
724.343	-0.0140989
725.313	-0.003675
726.283	0.0139103
727.253	0.0206512
728.223	-0.00295749
729.193	-0.0185823
730.163	0.00671316
731.133	0.00955962
732.103	0.0246544
733.073	-0.0135753
734.043	-0.0133559
735.013	0.0151232
735.982	-0.00814867
736.952	-0.00899368
737.922	0.0250828
738.892	-0.0274201
739.862	0.0411241
740.832	-0.0122527
741.802	0.0173346
742.772	-0.00217599
743.742	0.00542725
744.712	-0.00525573
745.682	0.0171315
746.652	-0.00694648
747.622	-0.0114589
748.592	0.0362668
749.562	0.000587654
750.532	-0.0135139
751.502	-0.0298057
752.472	0.0373116
753.442	-0.0110385
754.412	0.0412368
755.382	0.00797709
756.352	0.0028577
757.322	0.00339688
758.292	0.044319
759.262	-0.0438444
760.232	0.00428683
761.202	-0.00530407
762.171	-0.00426187
763.141	0.00298624
764.111	-0.00532508
765.081	0.00376261
766.051	-0.000471549
767.021	-0.0262712
767.991	0.00762732
768.961	0.0143211
769.931	-0.0108413
770.901	0.0373579
771.871	0.0267114
772.841	0.016879
773.811	0.0166364
774.781	0.000601939
775.751	0.0228274
776.721	0.0314151
777.691	0.0161605
778.661	-0.0114057
779.631	-0.000793629
780.601	0.0114734
781.571	0.0167549
782.541	-0.00154954
783.511	-0.0113362
784.481	0.0316841
785.451	-0.0214464
786.421	-0.0188266
787.39	-0.0265426
788.36	-0.018871
789.33	0.0249469
790.3	0.0256167
791.27	-0.00148091
792.24	0.00992629
793.21	-0.000210092
794.18	-0.0238395
795.15	0.0443621
796.12	0.0274948
797.09	0.00708839
798.06	-0.0171178
799.03	-0.00449869
800	-0.0138485
